ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_16_AUD_Total,E_16_AUD_Dem,E_16_AUD_Rep,E_16_LTG_Total,E_16_LTG_Dem,E_16_LTG_Rep,E_16_SOS_Total,E_16_SOS_Dem,E_16_SOS_Rep,E_16_TREAS_Total,E_16_TREAS_Dem,E_16_TREAS_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_LTG_Total,E_20_LTG_Dem,E_20_LTG_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_24_undefined_Total,E_24_undefined_Dem,E_24_undefined_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_AG_Total,E_24_AG_Dem,E_24_AG_Rep,E_24_AUD_Total,E_24_AUD_Dem,E_24_AUD_Rep,E_24_LTG_Total,E_24_LTG_Dem,E_24_LTG_Rep,E_24_SOS_Total,E_24_SOS_Dem,E_24_SOS_Rep,E_24_TREAS_Total,E_24_TREAS_Dem,E_24_TREAS_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,131227,100529,8793,3520,16945,1914,801,0,0,150919,105242,12236,4607,27924,2071,1193,0,0,157201,100994,13413,5916,31910,3804,1331,157284,101042,13414,5926,31914,3806,1334,154988,105741,13188,5068,29434,2013,892,3131,23769,262,307,7684,158895,105101,13033,5837,31867,2467,1105,100925,79896,5578,2131,11998,1336,536,0,0,103435,81327,5585,2191,12266,1122,355,1542,10662,188,355,712,0,122252,82471,8987,3826,22866,2795,904,122252,82471,8987,2586,19902,438,327,6761,105198,82341,5791,2602,12663,1117,248,0,0,0,0,108072,83078,5960,3052,13768,1248,203,2383,12292,218,203,109021,81323,6118,3350,15686,1405,274,2540,13913,339,274,69338,44344,23844,67879,43667,24212,74450,48651,20056,75834,50047,25787,75647,45608,30039,70023,50763,0,70276,39604,30672,72353,45511,26842,72576,36003,36573,62364,0,62364,70911,48018,22893,81637,55253,24934,90932,64157,23802,90149,61903,27904,87891,58706,29147,86424,59283,27103,82478,70073,0,87821,45727,42027,86839,53915,32898,80508,54980,24055,69279,48493,20631,67635,40584,2007,68778,48551,20129,81255,51255,29918,82490,57142,24290,85547,60019,22041,83688,58857,24630,84284,56435,27683,81827,54811,26954,81114,56770,24283,82306,55242,26975,81998,58724,23198,81465,56066,25344,82527,57828,24514
2,2,128859,98917,9578,7333,8548,4734,2800,0,0,147059,107125,12743,10896,11993,5955,3070,0,0,157197,106686,16694,11522,13185,7819,4883,157441,106848,16698,11549,13192,7833,4888,153389,111692,14795,10132,10757,5937,3837,6513,6144,1908,2108,10022,158237,108853,17338,12073,13060,7056,4243,94646,75854,5472,4295,5615,2948,1585,0,0,106314,82503,6871,5872,5598,3464,808,5018,4186,2017,808,1397,0,117684,84050,10288,7141,9056,5262,3006,117684,84050,10288,4965,5988,1473,1999,8175,110630,86382,7596,5474,5599,3274,1355,0,0,0,0,113875,85978,8822,6226,6831,3237,1269,5041,4806,1404,1269,115291,83741,10772,6399,7572,3024,1913,5166,5500,1145,1913,54755,26401,27146,55105,26822,28283,58319,21863,31219,58823,27021,31802,58806,23858,34948,54204,30333,0,56165,23463,32702,56987,22733,34254,57310,18771,38539,51503,0,51503,55317,23168,32149,68588,27897,39427,80976,33026,44893,80446,30912,49274,78291,31155,47033,77562,32706,44778,73108,50131,0,78520,24967,53453,77684,30564,47029,68317,27200,39829,57605,23014,34416,55820,19229,2978,57213,23786,33191,76558,29419,46992,75182,30681,43639,79815,32701,44366,77658,33635,43821,78862,30559,48093,77009,30972,45966,76493,32332,44095,77480,31412,45994,77019,33199,43749,76585,31497,45028,77599,33915,43530
3,3,141797,119972,6750,5660,5197,5102,976,0,0,147154,121610,8696,6104,6118,5400,949,0,0,156591,121928,10932,7471,7001,7753,2113,157244,122365,10948,7571,7004,7789,2118,149715,121657,9430,6777,6631,5282,1470,3416,3769,1772,815,8577,155020,124149,10800,7342,7075,6250,1906,111667,97405,4282,3166,3631,3387,604,0,0,113840,98193,5283,3300,2998,3374,224,2241,2204,1638,224,531,0,125230,100792,7455,4624,5023,5663,1298,125230,100792,7455,2994,3187,1978,800,7346,115966,98953,5975,3987,3378,3144,333,0,0,0,0,122094,103002,6839,4269,3710,3384,322,2712,2343,1388,322,121762,101783,7753,4486,3843,3225,176,2907,2393,995,176,66013,38252,25983,63296,36726,26570,65434,35270,24110,66392,40199,26193,66336,38148,28188,61562,40384,0,62634,34700,27934,63937,35394,28543,63597,30020,33577,55673,0,55673,66933,41809,25124,74014,44127,28764,84112,50165,30597,83566,49285,33950,80677,48335,32236,79833,48364,31363,73686,61350,0,80568,41792,38645,79977,45210,34665,73275,43689,28436,61506,37251,24124,59381,31342,2332,61396,36084,25186,74665,41868,32663,75013,45292,29025,78320,46857,28223,75646,46745,28678,76811,45936,30771,75210,43861,31254,74866,45517,29310,75463,43814,31595,75313,46410,28827,75001,45197,29724,76489,43158,33190
4,4,136266,121971,5562,2390,3449,3276,567,0,0,148951,130723,7894,2909,4484,3281,1052,0,0,157051,129864,9816,4485,5164,6122,1477,157261,130020,9819,4509,5165,6134,1479,151937,131372,8614,3213,4604,4171,1040,1480,2377,1354,634,6067,159882,135415,9882,4094,5356,4895,866,103054,94261,3241,1199,2251,2139,348,0,0,111849,101553,4012,1487,2194,1800,418,1047,1573,820,418,388,0,121889,103751,6201,2578,3540,4290,902,121889,103751,6201,1556,2259,1108,538,5947,114250,103470,4014,1540,2225,2220,303,0,0,0,0,121387,108087,5561,1725,2786,2503,152,1227,1711,868,152,124149,109878,5849,1692,3340,2671,289,1128,1967,696,289,64463,27692,35014,64232,26763,37469,67660,23492,38228,68655,30025,38630,68582,27804,40778,62783,33259,0,65462,25093,40369,66489,24061,42428,66174,20552,45622,59742,0,59742,66840,28540,38300,77287,30565,45377,88598,34488,50805,88236,33155,54788,85267,33687,51466,84481,34316,50067,75809,53225,0,85163,28569,56458,84686,31410,53179,76937,29837,45734,66388,25535,40721,63989,22352,4415,66193,24147,41881,83389,29092,54148,82365,32139,49375,87098,33889,50252,84019,34691,49060,85629,33098,52393,83952,31021,52833,83619,32803,50762,84258,30571,53631,84020,33688,50239,83786,33026,50661,85341,30091,55117
5,5,132391,106676,6968,2756,14259,2090,803,0,0,154848,114818,9836,4127,24259,2813,991,0,0,157291,108082,11519,5080,27804,4056,1200,157289,108115,11506,5063,27801,4054,1201,154711,112247,11210,3614,25852,2367,1082,1761,20309,490,229,7939,155757,109030,10934,4414,28463,2539,1259,96863,80612,4097,1507,9273,1350,448,0,0,104201,86416,4167,2032,9530,1408,154,1585,8409,369,154,542,0,116388,83959,7221,3007,18483,2807,724,116388,83959,7221,1800,16075,523,212,6084,104995,87216,4726,1623,9534,1334,208,0,0,0,0,105095,85049,5366,1880,10551,1518,212,1429,8677,542,212,104882,81987,5570,2009,13121,1334,189,1322,10491,406,189,67010,37327,28528,65900,35283,30617,73642,40218,27618,75043,41635,33408,75056,37162,37894,68146,44710,0,69650,32176,37474,71737,36962,34775,72010,29224,42786,63447,0,63447,73789,42020,31769,82651,46926,34310,92828,55446,34185,92141,52508,39307,89390,49697,39610,87911,50672,37191,81591,65565,0,89532,38039,51406,88350,45877,42419,82126,47076,33601,71964,42512,29275,69511,35524,2646,71742,43939,27627,84868,45122,39644,85642,49999,34594,89311,53424,32303,87269,52449,34646,88261,48146,39903,85363,47956,37361,84567,49897,34623,86110,48467,37562,85504,52097,33346,84974,49453,35476,85938,53552,32184
6,6,139184,118466,6812,4334,5046,4760,1443,0,0,147567,121134,9496,6049,6118,5817,2461,0,0,158883,124149,10751,6497,7443,7838,2788,157252,123152,10707,6344,7421,7754,2770,149700,122914,9636,5884,6461,5480,2180,3084,3916,1700,1440,6655,157806,128189,10296,7231,6690,4939,2375,105063,91927,4069,2541,3404,3010,817,0,0,109792,94965,5280,2541,3017,2967,429,1914,2267,1564,429,637,0,122031,98641,6984,3960,5226,5459,1653,122031,98641,6984,2615,3466,1863,1127,6811,111351,96211,5387,2577,3203,3021,474,0,0,0,0,117254,100393,6133,3286,3396,2876,642,2436,2379,1149,642,121524,102480,7090,4106,3396,2886,841,3024,2356,1131,841,60826,27885,31368,60484,27124,33360,63084,24051,33610,64099,30211,33888,63981,27934,36047,58470,32514,0,60744,25018,35726,61800,24423,37377,61535,20745,40790,55677,0,55677,62202,28670,33532,71692,30989,39517,81975,35076,43841,81500,33876,47335,78654,33962,44581,77959,34533,43319,70593,50714,0,78643,29063,49434,78180,31741,46327,71111,30230,39672,60780,25625,35019,58226,22539,3706,60643,24379,36108,76330,29420,46753,75766,32540,42470,80053,34214,42984,77189,34980,41928,78552,33321,45121,76931,31454,45376,76577,33123,43398,77158,31140,45957,77015,33901,43024,76728,33216,43419,78238,30455,47661
7,7,147769,114993,18495,1161,1598,12450,436,0,0,154610,117363,21943,1870,2332,12272,784,0,0,156945,113938,22860,1588,2357,15497,655,157250,114154,22865,1592,2357,15530,656,156707,117671,23016,1813,2341,12498,734,514,978,8227,218,5963,159054,116483,24619,2102,2496,12963,1016,112335,92162,10662,571,981,8294,236,0,0,111958,94701,7109,652,933,8023,191,381,621,5943,191,332,0,122702,93649,14763,899,1558,10722,412,122702,93649,14763,405,821,6683,135,5581,113859,95847,7590,774,948,8225,184,0,0,0,0,114703,96318,7891,756,1043,8155,236,310,577,5456,236,118270,98910,8424,822,1100,8383,311,355,522,5366,311,67108,26683,37970,64088,24346,39742,68511,20217,43286,69196,27461,41735,69178,24543,44635,61876,31753,0,65595,22536,43059,66714,21142,45572,66640,18632,48008,58818,0,58818,67214,24244,42970,76993,25982,50139,87459,28796,56343,87180,26869,60036,84684,27965,56591,83938,28717,55117,74054,44022,0,84838,24167,60571,84209,26570,57566,76999,25011,51091,68994,21532,47332,65125,19001,5911,68120,19876,47439,83982,23715,60095,82786,26794,55495,86973,27637,56541,84528,29911,54370,85947,26731,59040,84264,25739,58446,83973,27150,56750,84728,25452,59170,84403,27869,56448,83970,27262,56607,46466,11746,34637
8,8,120373,92049,18684,2738,5590,1873,425,0,0,146022,104569,28930,4397,7199,2634,927,0,0,157039,102474,37041,4320,8475,4933,942,157266,102612,37047,4340,8480,4936,943,148285,103448,31298,4133,8003,2687,939,2331,5146,416,108,4984,155464,104528,35485,4478,8522,3663,1164,87915,70690,10710,1545,3834,1279,241,0,0,99912,79430,13335,2137,3047,1302,87,1568,2559,524,87,601,0,114878,80253,22419,2491,5860,3381,545,114878,80253,22419,1614,4546,578,217,4685,101014,79498,13989,2157,3509,1279,73,0,0,0,0,106538,81565,16623,2371,3781,1555,245,1702,3088,358,245,110047,80991,20321,2328,4516,1465,196,1668,3682,279,196,52961,19263,32785,58364,21356,37008,60931,21360,34582,62549,27992,34557,62527,24441,38086,57479,32489,0,59307,21626,37681,60470,21583,38887,60278,16923,43355,54977,0,54977,58126,23147,34979,69637,27748,40740,80236,32216,44888,79907,30924,48660,77656,30860,46724,76887,31921,44897,70058,46338,0,77526,24735,52708,77249,27025,50161,69039,26607,41261,59091,21253,37758,57005,18866,6621,58201,18546,38725,75902,26886,48890,74639,29473,44404,79159,31637,44769,76939,32975,43763,77730,29888,47718,76505,28750,47703,76107,31012,45051,76615,28692,47859,76582,31992,44533,76234,31052,45131,0,0,0
9,9,141771,121547,8628,2691,6347,2950,681,0,0,156035,127826,12579,4334,8249,4037,933,0,0,159099,126172,13613,4476,8479,5706,1175,157247,125192,13575,4099,8432,5639,1136,157486,128637,13058,4272,8405,3756,700,2482,6333,820,232,5373,158298,127182,13702,4193,8828,4034,1020,113350,98589,5699,1937,5167,2063,481,0,0,117980,102753,6308,2464,3574,2189,214,1830,2755,703,214,622,0,128003,103190,9727,3300,6769,4279,869,128003,103190,9727,2164,4714,1109,274,6263,119530,104056,6544,2278,3847,2196,239,0,0,0,0,121108,104684,7155,2208,4252,2181,170,1489,3109,741,170,122909,104892,7571,2430,4864,2349,198,1421,3304,742,198,66523,28026,36670,64984,25807,39177,67337,24088,37425,68340,30174,38166,68336,27342,40994,61549,33859,0,64685,24351,40334,65899,24357,41542,65823,20118,45705,58563,0,58563,66742,28515,38227,74804,30234,43399,84069,33852,47329,83621,32561,50773,81065,32357,48616,80296,32919,47275,71126,49943,0,81183,26975,54082,80575,29618,50845,74700,29504,44002,66590,25128,41337,63162,22072,3152,66379,23589,42634,79319,27351,51834,78915,31050,47153,82732,32812,46918,80494,33705,46604,81553,31251,50149,79750,29660,50012,79545,31598,47885,80226,29499,50646,79929,32277,47558,79573,31259,48236,80904,28869,51935
10,10,142807,118638,10397,3485,6882,4099,1072,0,0,150810,121064,12894,4734,8483,5148,1306,0,0,157012,119689,15050,5356,9105,6838,1592,157261,119863,15061,5372,9107,6850,1595,154318,121031,14845,4649,8545,5487,1516,2634,5450,2303,481,6602,159289,122971,15738,5436,9475,5725,1407,111089,95606,6225,1908,4651,2769,633,0,0,116600,99242,6358,2676,4389,2651,394,2261,3642,1412,394,898,0,126071,100035,9742,3453,6644,4919,1069,126071,100035,9742,2241,4602,1480,478,6774,119456,100417,7575,2795,4373,3019,399,0,0,0,0,122814,102295,8218,3067,5099,2943,313,2356,3987,1428,313,124779,102906,9047,3176,5658,2699,431,2088,4400,1084,431,74328,38837,34047,72461,37602,34859,74884,34964,33840,76288,40003,36285,76124,36485,39639,70046,43783,0,72078,33300,38778,73795,35490,38305,73992,29564,44428,64893,0,64893,72769,36896,35873,84455,42194,40839,95913,49102,43364,95376,46720,48371,92848,45413,47355,91473,46650,44764,84789,61830,0,92918,38194,54615,91901,43886,47935,84306,42020,40838,75362,38894,36289,73272,33691,3337,75095,39815,35161,89657,43442,46052,89395,46210,42157,93702,49167,41106,90432,48383,41850,92344,46049,46082,90132,45654,44380,89573,47036,42442,90616,45518,45010,90362,48603,41654,89578,46612,42880,91324,51320,39792
11,11,137110,67944,17246,18309,32001,2741,2281,0,0,149366,67057,20005,20880,39424,3769,3007,0,0,156953,61763,23331,21859,46581,4539,2971,157228,61867,23335,21971,46594,4543,2981,149501,65397,20786,20721,39638,3598,3059,15786,34679,715,1915,9340,153304,62448,22638,21431,44268,4612,3047,104672,56558,10990,12259,23194,1873,1450,0,0,99246,54402,7126,11796,21597,2046,1130,10651,20412,675,1130,1290,0,123867,53284,15904,15776,35418,3509,2110,123867,53284,15904,13224,32118,559,1272,6758,99778,52866,7804,11984,22378,2122,1302,0,0,0,0,103375,52256,8993,12272,25221,1748,1250,10684,23441,599,1250,103594,50081,9687,13105,26399,1660,1175,11167,24706,551,1175,51669,33964,16867,55116,37036,18080,56850,37654,15244,56817,38980,17837,56731,35796,20935,52253,38929,0,52813,31920,20893,54159,34940,19219,54413,29450,24963,45728,0,45728,51787,35612,16175,63456,43291,19216,73293,50588,20619,72392,49699,22487,70195,47296,22852,69143,47583,21514,65012,57243,0,70151,38937,31122,69444,44443,24946,61958,42227,18759,47894,32574,15187,46473,27805,1176,47426,32645,14701,61372,38776,22495,62182,41811,19676,64851,43185,19245,62581,43420,18969,63592,41004,22442,61772,40117,21592,61201,41396,19754,62075,40507,21486,61928,42866,18994,61541,40905,20587,4296,2936,1347
12,12,144256,110003,26881,1635,3057,3089,655,0,0,152146,111339,31815,2635,3753,3957,971,0,0,159112,111226,33719,2562,5346,5509,955,157247,110225,33691,2153,5293,5422,911,153546,111412,31918,2908,4599,4386,1008,1177,2437,717,230,5404,157455,111474,33745,2651,6106,4336,951,107820,86847,15916,1079,1982,2126,411,0,0,107188,89240,11915,1477,2032,1962,179,1157,1458,893,179,514,0,123024,90940,21689,1726,3659,4081,699,123024,90940,21689,1049,2335,856,197,5386,107883,89706,11717,1575,2234,2082,185,0,0,0,0,110003,90610,12880,1247,2457,2187,124,902,1666,878,124,111315,89658,14722,1488,2605,2175,170,1081,1862,963,170,64769,30523,32814,63526,29347,34179,66933,28118,33579,68021,32574,35447,68010,28985,39025,61119,35970,0,63675,26346,37329,65481,27449,38032,65698,22652,43046,57104,0,57104,66631,30904,35727,76791,35038,40570,87944,41642,43391,87463,38625,48486,85068,38171,46810,83980,38857,45077,77706,51889,0,85195,31161,53951,84271,36173,48043,76964,34823,40932,69089,31433,37503,66356,26449,3550,68692,33248,35138,82377,34431,47825,82449,38201,43419,86479,40475,42789,84276,40900,43187,85398,37634,47600,82735,36860,45821,82324,38017,44242,83624,36920,46609,83011,39985,42957,82481,38206,44217,78316,39828,38328
13,13,140343,98286,35164,2069,2771,3101,351,0,0,152961,102039,41908,3185,3248,3768,701,0,0,156945,97523,47426,2543,4134,5944,673,157248,97685,47440,2560,4136,5952,673,153588,100472,43187,2830,3223,3241,728,1741,1715,996,357,4803,156132,97326,47301,3280,3241,4661,392,103706,78258,20496,1280,2032,2118,225,0,0,102977,82050,15039,1556,1618,2187,290,1224,1106,1027,290,282,0,117963,78824,30159,1656,3023,4315,474,117963,78824,30159,902,1973,919,164,4497,105062,82295,16798,1551,1863,2085,198,0,0,0,0,106720,80655,20211,1693,1701,2185,104,1032,1002,661,104,111533,83258,21687,1942,2173,2187,69,1247,1305,510,69,53328,20104,31824,53504,19652,33852,55665,17508,34292,56173,22033,34140,56140,19930,36210,50221,27040,0,53036,18145,34891,54044,17395,36649,54231,14638,39593,47725,0,47725,53442,18746,34696,63840,22360,40719,73926,26265,45484,73552,24163,49161,71410,25068,46264,70673,25498,45113,63575,39216,0,71671,20438,51139,71086,23318,47708,63585,21527,41284,55008,17322,37601,51979,15691,2554,53960,17424,35417,69106,20505,48455,68320,23068,44735,72334,24471,45442,69649,25504,43947,71265,22699,48422,69591,22177,47339,69129,23537,45522,70030,22123,47827,69767,24354,45350,69350,23630,45652,25891,11800,14030
14,14,147279,83997,48968,2121,3145,11532,435,0,0,148856,80381,53830,2037,3592,10976,426,0,0,156832,78348,59637,2705,3897,14863,663,157253,78517,59665,2728,3898,14902,666,151174,80215,56009,2599,3750,10582,734,1399,1669,6486,277,4794,153953,78257,59853,3015,3895,11369,938,106068,67969,28554,1196,2094,7314,253,0,0,96807,65864,21836,895,1625,6242,70,722,1107,5244,70,309,0,116363,64941,38015,1693,2760,9907,445,116363,64941,38015,922,1803,5861,123,4202,97164,65543,22449,1087,1755,5877,181,0,0,0,0,99134,64842,24529,1168,1933,5882,305,922,1378,4152,305,101476,64839,27048,1270,2066,5610,180,857,1574,3925,180,55114,24810,29096,50777,22624,28153,55164,22258,29334,55627,26843,28784,55467,24799,30668,50826,30303,0,52910,22770,30140,53788,22038,31750,53833,18592,35241,47064,0,47064,51367,22273,29094,60474,27033,32741,68154,31126,35228,67687,29641,37830,65864,29844,35951,65253,30136,35064,58651,42831,0,65799,25100,40627,65466,27658,37752,59192,25685,32793,47713,18629,28993,45625,16791,2621,46918,17276,28481,61267,23537,37482,60731,26190,34041,63785,27642,34095,60793,27681,32886,62798,26253,36398,61765,25538,36099,61351,26907,34345,61952,25524,36332,61835,27867,33867,61432,27093,34229,0,0,0
15,15,150097,42221,102781,2447,1523,3473,309,0,0,157393,38449,113814,3113,1694,4703,425,0,0,156700,35382,114847,2175,1864,7139,486,157231,35538,114884,2203,1865,7157,489,158983,39116,113536,3548,2065,5086,1257,1496,917,1191,974,1684,160987,39193,114609,2912,2794,5208,984,96680,34123,59064,1493,977,2181,172,0,0,69343,31169,34685,1028,763,1514,125,840,503,992,125,58,0,105378,29034,71617,1349,1272,4802,311,105378,29034,71617,766,749,915,95,1889,74132,31989,38166,1082,833,1537,209,0,0,0,0,76721,32589,40140,1010,963,1496,172,784,718,712,172,78196,30822,43060,1133,831,1629,240,810,645,654,240,30119,13870,15474,31233,15137,16096,30753,14264,14772,30968,16660,14308,30926,15410,15516,28742,18114,0,29733,14567,15166,30056,13609,16447,30095,12253,17842,26270,0,26270,27104,12560,14544,34413,16836,17270,39865,19484,19408,39605,18736,20779,38518,19015,19475,38257,18953,19276,35078,26116,0,38515,16681,21799,38375,17901,20457,33193,15477,17396,23513,8349,15112,22490,7880,1623,23054,7350,15141,35007,13666,21235,34120,14841,19057,36412,15396,19995,34574,15988,18445,35656,15092,20493,35289,14485,20739,35059,15341,19661,35244,14545,20638,35285,15781,19448,35098,15279,19751,1310,195,1114
16,16,145241,102379,34493,3073,3215,2912,623,0,0,153500,101102,41696,3774,4268,3683,714,0,0,158905,100130,44524,3954,4663,5707,1093,157254,99241,44480,3602,4631,5638,1066,155146,102143,42354,4073,3792,3956,644,2582,2444,1031,256,3980,158997,102144,44605,4238,4362,4728,772,106696,80904,19947,1917,2198,2008,403,0,0,102537,80485,15877,2120,1776,1909,128,1684,1238,672,128,340,0,119296,81068,27929,2571,3198,4158,746,119296,81068,27929,1720,2056,829,320,4871,105211,81796,17063,2254,1820,2002,198,0,0,0,0,108569,82942,18944,2301,2001,1962,250,1944,1394,671,250,111271,82997,21248,2106,2317,2047,262,1556,1632,606,262,56129,21056,33813,57017,21280,35737,59200,19873,34656,60070,26801,33269,59932,23200,36732,54605,30108,0,56853,21213,35640,57867,20359,37508,57762,16797,40965,52631,0,52631,56710,22508,34202,65927,25419,39526,74675,28385,43558,74215,27180,46787,72270,27514,44674,71557,28257,43244,64379,42580,0,72087,22106,49897,71848,24409,47371,65186,24110,40078,55595,19143,36360,53189,17194,5631,54928,17526,36516,69020,23067,45823,68388,25562,42240,71841,26919,42556,69789,28503,41109,70642,25589,44929,69439,24832,44557,69149,26390,42700,69661,24560,45033,69488,27060,42375,69220,26311,42858,28903,11712,17178
