ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_17_GOV_Total,E_17_GOV_Dem,E_17_GOV_Rep,E_17_AG_Total,E_17_AG_Dem,E_17_AG_Rep,E_17_LTG_Total,E_17_LTG_Dem,E_17_LTG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_21_GOV_Total,E_21_GOV_Dem,E_21_GOV_Rep,E_21_AG_Total,E_21_AG_Dem,E_21_AG_Rep,E_21_LTG_Total,E_21_LTG_Dem,E_21_LTG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,197956,169166,13588,11226,3046,1743,227,0,0,211451,175083,18120,13562,4321,1533,287,0,0,219235,172806,22510,13636,5152,5297,344,219464,173088,22488,13560,5150,5293,343,213793,175695,18887,13648,4494,1753,270,9106,2933,335,42,474,6321,220129,176672,21687,14591,4904,2553,349,150968,132453,8287,7343,2087,1182,140,0,0,156585,139570,5692,8325,1891,991,39,7213,1536,301,366,0,171159,140097,14157,9266,3630,3824,198,171159,140097,14157,7637,2714,354,72,662,5466,158790,140320,6379,8547,2236,1268,14,0,0,0,0,0,163290,142580,7481,9059,2822,1108,79,7818,2291,129,79,166827,142441,9963,9621,3179,1440,43,8229,2591,128,43,86534,35565,49568,88310,33868,54442,97777,30589,61401,60223,21795,37658,59837,21807,37975,59984,20265,39667,81274,31759,47853,96312,33565,61244,114977,41176,71503,113721,43300,70327,86359,27060,58829,85973,28022,57897,85939,27446,58403,106685,38123,68058,121164,42555,76625,119342,46252,72919
2,2,202811,177202,13352,8389,3315,1306,194,0,0,212249,178259,18194,13805,4332,1679,279,0,0,214436,173270,21704,11772,4995,3832,299,213860,173291,21694,11135,5002,3820,297,213846,178079,18928,13858,4457,1685,349,8445,2790,232,71,696,4607,215850,177431,20075,13796,4672,2025,288,161268,143624,8388,6115,2597,939,157,0,0,161945,144966,6670,7064,2189,892,93,6266,1752,372,253,0,171233,142258,14378,8527,3846,2786,217,171233,142258,14378,6762,2809,245,43,407,4331,163986,145266,7700,7353,2550,945,68,0,0,0,0,0,165871,145937,8325,7632,2799,981,53,6443,1827,174,53,165805,144133,9884,7978,2751,957,113,6694,1780,120,113,83361,30776,51352,83473,29536,53937,92413,28061,58848,59477,19935,38730,59023,19607,39366,58935,19289,39586,75055,27572,45850,88656,28716,58482,103380,34289,67159,102452,37028,65345,80467,22544,57394,79958,23514,56378,79927,22546,57301,96587,31716,64412,108265,35117,71427,106919,37978,68775
3,3,206770,184227,4350,14585,2483,1539,219,0,0,207165,181292,6180,15871,3058,1324,335,0,0,212330,179458,7571,16678,3985,4392,337,213402,180407,7586,16722,3988,4392,336,208565,181583,6126,16159,3543,2002,369,13012,2519,452,236,95,4542,212073,180963,7231,17772,3704,1933,591,163428,147739,2738,10324,1721,1133,146,0,0,164504,148234,2832,10926,1471,866,129,10409,1199,385,129,0,171522,148254,4818,11894,2842,3277,218,171522,148254,4818,10413,2213,332,83,479,4930,166240,148985,3090,11132,1626,1060,165,0,0,0,0,0,169406,150080,3388,12214,1976,1215,263,10884,1357,179,263,170392,149584,3863,12492,2337,1583,78,10760,1718,245,78,98379,39657,57324,97977,38320,59657,102591,32925,63965,67603,24434,42282,66791,23906,42800,67078,22925,44092,84247,32789,49879,99927,35031,63407,117949,41483,74249,116607,46259,70246,90397,28115,61655,89965,29094,60789,89910,28633,61191,108764,38751,69493,120216,41824,76653,118761,45572,73027
4,4,211362,162156,7861,35699,5039,1619,216,0,0,216702,159239,9922,39352,8486,2190,356,0,0,220283,156248,13011,39040,7731,4698,288,220600,156298,13015,39173,7734,4701,282,217022,159059,10409,38781,8537,1958,360,34005,7187,451,76,569,5271,217725,158601,11046,38340,8421,1902,402,165512,131461,5211,24668,3530,1235,127,0,0,164865,129806,4079,25683,3753,946,44,24942,3241,422,665,0,174441,129502,8274,27483,5561,3563,188,174441,129502,8274,24850,4642,348,65,638,6122,164383,129660,3970,25530,3885,934,75,0,0,0,0,0,164825,130288,4186,25556,3855,840,165,24866,3314,206,165,163646,127791,5281,25246,4186,883,139,23722,3572,183,139,100359,49379,49701,97266,47108,50158,100132,43742,50165,64765,31328,32531,64215,30771,33394,64278,29491,34712,80883,41610,37622,92571,44580,46387,109158,53275,53550,108621,57827,50668,79474,35274,43485,78973,35875,43029,78888,35679,43090,99639,48943,50079,112047,54291,55729,111021,57052,53801
5,5,226278,204874,3851,9895,6684,1323,156,0,0,223394,198130,4802,11264,7987,1479,562,0,0,219841,187378,6294,11461,10235,3827,260,219146,186922,6288,11228,10192,3823,259,222223,196882,4832,11098,8141,1478,559,8794,6935,486,211,347,3725,219979,193734,5022,11105,8171,1367,464,186268,169186,2912,7547,5778,1024,135,0,0,181152,164975,2811,8359,3553,924,162,7811,3163,475,430,0,182838,156516,4845,8849,8926,3064,157,182838,156516,4845,7388,7639,260,42,621,5527,179640,163433,2762,8281,3708,927,198,0,0,0,0,0,178630,161366,3174,8247,4067,1073,263,7343,3384,310,263,176441,158598,4000,8197,4059,972,236,7058,3136,148,236,90686,38640,50340,88956,34026,54930,95354,29919,60239,61989,22117,39038,61363,22288,39017,61274,21346,39868,75083,29918,43723,85811,28758,55725,101531,33427,66314,99392,38013,61289,73249,20738,51968,72816,21381,51377,72695,21208,51418,91537,30522,60582,103061,32080,69540,100797,37682,62937
6,6,235784,224152,2580,6884,1022,1259,109,0,0,222976,209899,3069,7750,1357,1364,158,0,0,214980,199175,3038,7209,1341,3775,220,213557,199011,2888,6112,1281,3769,217,221384,208270,2676,8289,1009,1489,102,6103,666,434,25,293,2917,214715,201312,3123,7325,1306,1400,154,188459,179422,1774,5550,752,1027,74,0,0,179450,170555,1633,5527,656,988,30,4930,534,283,155,0,174280,162308,2108,5485,936,2968,159,174280,162308,2108,4771,650,303,21,266,3853,178925,169965,1471,5838,538,1195,23,0,0,0,0,0,174650,164975,1968,5690,958,988,94,5279,734,178,94,171976,161806,2021,5842,843,1310,96,5487,591,194,96,93899,34688,57378,95899,27939,67960,96928,19066,74858,57701,13362,43781,57008,13274,43675,56773,13831,42881,71485,19941,50760,87761,18788,68254,106164,21148,83867,104745,27543,77081,75818,13168,62341,75261,13535,61676,75063,13256,61733,95100,20537,74311,106607,20338,85490,104076,28311,75591
7,7,225180,188707,7683,26647,1142,1296,101,0,0,220113,182253,8904,27442,1361,1496,83,0,0,216978,174443,10144,26925,1632,3941,248,217620,175310,10141,26613,1626,3941,243,219516,181149,9328,27050,1475,1624,122,24207,1093,469,72,287,2915,217512,177296,10004,27750,1580,1745,88,178666,152541,4533,19972,756,1007,73,0,0,174679,149563,3151,20145,774,1089,15,19452,598,363,201,0,175743,144692,6180,20580,1127,2983,178,175743,144692,6180,19039,782,255,34,390,4371,174696,148960,3648,20039,881,1246,23,0,0,0,0,0,173373,146588,4264,20446,1142,943,22,19569,904,157,22,172865,145658,4562,20125,1060,1461,33,19074,788,176,33,101765,40152,59741,99032,36647,62385,103527,28765,70903,64734,19699,44360,64178,19643,44470,64170,18720,45381,82357,26654,54661,97840,28328,68574,115888,32893,81613,113865,38720,75030,87357,21482,65406,86851,22267,64525,86691,22236,64380,105485,30423,74772,116358,31363,83800,114347,35773,78423
8,8,205284,158855,4442,37139,3750,1678,172,0,0,214170,162917,6475,38983,4502,1864,187,0,0,214167,158666,7750,38506,4640,4317,279,214868,159311,7486,38828,4556,4319,279,215341,162981,6907,39300,4604,1942,303,35874,3383,309,74,507,5306,214445,160247,7468,38787,4919,2582,454,161888,128342,3093,26928,2624,1233,112,0,0,167815,133490,3502,27676,1930,1234,30,26659,1382,211,271,0,172146,131557,5263,28232,3395,3228,184,172146,131557,5263,26116,2642,448,58,873,5189,169040,134140,3692,27616,2164,1182,69,0,0,0,0,0,168925,133739,4002,27155,2532,1216,40,25816,1725,163,40,169775,133537,4375,27656,2562,1075,47,26292,1728,185,47,98801,36583,60994,97899,33730,64169,105717,31224,68192,66487,21447,44323,65981,20990,44927,65987,19802,46122,84372,29519,52778,98733,31519,65344,114924,38294,73942,113813,41737,71952,87215,23931,62793,86781,24428,62296,86750,24351,62320,106511,34056,71833,119391,36968,80623,118243,38614,79463
9,9,226871,139337,5501,79880,1460,1627,133,0,0,217426,132343,6716,76021,2273,2041,152,0,0,216232,127557,7214,76927,1942,3367,200,214702,127224,7100,75719,1928,3359,190,215759,130808,6826,75705,2254,2002,125,70846,1529,379,48,86,5238,216270,129917,7690,76315,2197,2154,54,179120,113421,3584,60518,1020,1192,85,0,0,171281,109024,2450,57734,836,1233,72,56163,762,261,365,0,173829,105803,4532,60021,1347,2524,123,173829,105803,4532,58011,1045,369,25,402,3642,169967,108101,2407,57577,633,1174,28,0,0,0,0,0,171009,107657,3150,58088,789,1368,10,56459,646,239,10,169821,106120,3606,57577,1140,1295,7,55881,765,108,7,107000,50207,55289,103742,48561,55181,104976,42665,59428,64266,25522,38331,63768,25260,38465,63769,24786,38944,83911,36590,46383,96024,38837,56505,112615,46597,64839,111025,50189,60754,82952,28453,54132,82530,28893,53589,82450,28601,53785,100763,40312,60209,109630,42540,66169,107300,45009,62129
10,10,205515,155878,4339,42408,1810,1752,176,0,0,211753,160642,6917,41071,2572,1918,258,0,0,217521,161337,7808,40522,3235,4369,316,214277,159921,7664,38952,3185,4254,306,214871,162692,7168,40727,2918,2163,236,36693,1708,396,73,370,5768,219749,165322,7992,40678,3216,1999,354,161065,123243,2826,32834,1242,1282,124,0,0,167607,130169,2806,31987,1263,1280,60,31091,923,381,268,0,174465,130972,5198,32400,2308,3269,208,174465,130972,5198,30427,1604,454,45,595,5170,170753,132871,2834,32134,1449,1400,55,0,0,0,0,0,175398,136519,3624,31902,1855,1276,164,30544,1257,241,164,180978,140272,4780,30738,2228,2397,222,29091,1605,249,222,102184,41440,59493,105241,41026,64215,111137,38509,67101,75223,27457,46866,74889,26964,47865,74871,26610,48185,96419,38373,56188,112241,40256,70532,130464,48166,80148,129062,50384,78568,104277,32977,70770,103883,33432,70388,103774,33057,70626,123039,44204,78340,136875,49338,85710,135168,50910,84121
11,11,197185,148124,8930,30053,9186,1909,208,0,0,209518,155968,10376,30742,11155,1493,334,0,0,214315,151338,13569,29894,15503,3973,362,214453,151606,13573,29687,15500,3960,360,211339,156662,10442,31411,11647,1386,300,27817,9504,649,65,546,5653,214121,157662,11226,30629,12273,1578,305,157898,121141,6238,22260,7453,1376,138,0,0,160155,126604,4055,22905,5294,1099,64,21817,4490,427,333,0,173053,125635,9189,22626,12477,2948,216,173053,125635,9189,20268,10759,370,70,726,6036,162667,127975,4246,23247,5932,1011,58,0,0,0,0,0,165704,130655,4814,22382,6609,1074,54,21045,5601,381,54,166330,129417,6364,22336,6707,1222,28,20991,5533,206,28,97389,57769,38433,101152,58183,42969,107262,61893,38337,77776,48605,28219,77172,47985,29116,77182,47531,29586,97763,63695,31865,105188,64822,38439,120344,75477,42507,118797,76738,41960,94590,55397,38439,93953,56109,37772,93941,55206,38639,111932,69476,41719,123711,76437,44852,121925,76785,44964
12,12,187241,142913,6863,29081,7996,1579,254,0,0,203066,149628,9560,33497,10686,1545,323,0,0,219065,153594,13004,37533,11577,4094,384,219101,153669,12973,37505,11554,4088,383,206296,150942,10498,32925,11812,1668,310,28637,8877,388,27,468,6460,220934,156928,11844,39626,11506,2535,90,139040,108115,4248,20872,5362,1047,167,0,0,149626,114375,4375,24131,5561,1121,35,23112,4868,355,330,0,167210,120221,8307,27884,8087,2899,241,167210,120221,8307,25473,6732,347,57,673,5400,151611,115520,5020,23372,6442,1173,25,0,0,0,0,0,162699,121040,5877,27672,6773,1335,0,26076,5513,247,0,167241,120744,8034,29684,7104,1336,4,27336,5952,117,4,102941,41293,60819,107580,42619,64961,112777,45661,59928,78102,34719,42467,77820,33564,44190,77850,33684,44102,99541,48618,48798,111733,49923,59798,126698,58363,65853,124624,58429,66067,103877,44113,58983,103571,44275,59213,103514,44477,58944,122508,57227,64430,139161,68444,68198,138082,69728,68200
13,13,203120,86880,7602,105646,2470,2791,378,0,0,204924,82632,9706,108854,3127,2463,393,0,0,214104,82879,12810,112199,3693,4949,570,213623,82612,12758,111900,3692,4952,564,202252,80921,10300,107452,3288,2535,410,102518,1860,938,188,680,4848,210565,81941,11748,113195,4227,2769,378,156953,71138,5028,78152,1822,2057,232,0,0,158440,67511,5424,82156,1627,1567,116,80790,1322,900,358,0,170323,70090,8701,86180,2811,3754,386,170323,70090,8701,82392,1918,1082,179,741,5220,157717,66772,5555,81786,1550,1665,166,0,0,0,0,0,164935,68743,6948,84957,2193,1700,234,82979,1719,484,234,165579,68157,7510,85151,2391,2041,218,82963,1783,629,218,96924,62089,33775,98373,64256,34117,96025,58189,34782,61937,38504,22836,61618,38225,23334,61646,38108,23496,77151,50060,26235,87703,53803,33022,103110,63972,37868,101622,65006,36532,74945,42639,31483,74645,43196,31372,74599,42879,31619,92554,56547,35633,102316,61614,39453,99864,62641,37097
