ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_18-24_COMP_Total,E_18-24_COMP_Dem,E_18-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,HD1,9560,9168,179,35,33,139,1,0,0,9914,9318,141,135,86,225,1,0,0,9484,8911,154,43,58,238,27,9970,9213,238,168,82,241,1,39,82,82,0,0,319,9523,8658,257,94,34,306,0,7345,7093,116,17,18,98,1,0,0,7458,7131,69,60,48,143,0,11,44,79,0,0,7272,6853,111,22,38,184,13,7272,6853,111,3,14,47,2,22,220,7458,7084,105,90,20,163,0,0,0,0,0,0,7251,6910,121,20,35,196,0,0,35,32,0,7370,6969,86,24,23,286,13,0,15,20,13,5103,851,4054,5264,378,4625,4232,444,3646,4232,472,3522,4779,422,4212,5578,485,4985,5463,497,4943,4734,386,4248,5799,570,5119
2,HD2,9771,9002,459,70,42,221,9,0,0,9805,9040,483,59,63,170,45,0,0,9741,8653,499,103,102,341,30,9692,8652,536,145,119,165,164,38,58,103,162,0,141,9856,8530,616,88,114,405,92,7839,7282,331,55,28,157,8,0,0,7739,7159,349,38,31,130,47,28,28,116,5,0,7887,7093,380,75,58,237,20,7887,7093,380,54,38,108,9,18,187,7808,6960,344,97,60,135,163,0,0,0,0,0,7888,6998,365,40,21,270,89,24,19,166,89,7835,7034,314,101,34,252,0,90,0,129,0,4466,968,3321,4530,458,3770,3627,518,2995,3640,541,2804,4081,518,3400,4644,613,3903,4559,638,3911,3933,501,3317,4595,548,3958
3,HD3,9087,8326,507,47,54,184,16,0,0,10746,9553,713,49,143,351,15,0,0,9436,8294,615,75,89,316,10,9742,8711,636,193,52,188,8,95,44,2,0,0,251,8528,7662,344,135,16,296,27,6414,5969,282,23,37,112,9,0,0,7537,6912,345,52,77,136,0,52,77,2,15,0,6925,6181,390,42,44,219,6,6925,6181,390,20,29,51,1,10,243,7072,6614,190,92,45,90,0,0,0,0,0,0,6240,5910,96,62,10,153,0,50,10,17,0,6600,6311,137,50,0,109,0,38,0,28,0,3321,457,2808,4289,198,3879,3150,262,2802,3134,315,2624,3773,279,3355,4554,303,4106,4433,328,4083,3738,292,3337,4188,299,3812
4,HD4,8890,8123,585,46,59,84,8,0,0,8832,7820,711,23,188,102,0,0,0,8879,7679,718,59,87,260,20,8810,7582,723,15,220,28,50,5,58,0,50,0,389,8842,7562,727,54,12,209,42,7067,6562,372,26,34,65,6,0,0,7070,6290,533,7,140,98,0,4,80,4,0,0,7077,6260,473,29,53,206,18,7077,6260,473,5,38,61,4,28,208,7061,6258,559,9,150,23,50,0,0,0,0,0,7043,6273,490,53,19,153,40,48,18,4,40,7006,6266,503,39,21,140,33,28,13,17,33,4720,1423,3103,4624,726,3519,3854,810,2909,3846,857,2701,4309,822,3307,5012,898,3973,4957,908,4039,4256,777,3370,4856,790,3953
5,HD5,10693,9398,1059,78,56,138,23,0,0,10566,9128,1065,51,180,239,19,0,0,9759,8258,1042,89,78,248,6,10460,8848,1128,81,179,236,6,27,104,89,6,110,147,9801,8215,1109,109,106,278,26,8407,7565,682,41,37,96,14,0,0,8303,7395,716,26,25,105,18,22,20,48,14,0,7699,6668,705,62,42,162,4,7699,6668,705,44,23,45,0,23,191,8094,7171,723,30,31,119,7,0,0,0,0,0,7651,6662,743,36,32,218,20,19,30,134,20,7817,6881,706,59,22,151,18,10,5,57,18,4840,1527,3169,4668,775,3520,3875,858,2915,3885,803,2860,4318,838,3323,4988,998,3866,4904,999,3883,4281,835,3349,4870,971,3798
6,HD6,9557,8678,652,57,56,164,9,0,0,9858,8568,917,0,148,303,0,0,0,9732,8372,855,82,92,246,14,9744,8402,1062,0,59,281,0,0,19,22,0,0,239,9549,8245,998,32,35,304,0,7078,6531,400,21,33,110,5,0,0,7260,6644,420,0,40,168,0,0,0,23,0,0,7276,6391,535,43,64,183,5,7276,6391,535,17,45,42,0,20,226,7165,6489,485,0,0,203,0,0,0,0,0,0,7132,6322,537,20,1,249,0,20,0,14,0,7071,6254,584,63,3,172,0,63,0,4,0,4446,941,3383,4663,455,3888,3456,551,2796,3447,502,2738,4086,518,3409,4911,596,4186,4790,680,4068,4044,532,3399,4708,571,4042
7,HD7,8768,7588,745,203,188,105,19,0,0,8742,7557,602,165,364,211,19,0,0,8933,7084,1009,300,247,275,42,8179,6722,847,216,323,252,25,88,111,1,0,0,411,7954,6624,826,145,321,154,0,6955,6125,509,139,127,73,16,0,0,6898,6114,404,47,126,135,0,43,76,34,60,0,7096,5809,682,181,173,197,32,7096,5809,682,134,119,25,16,39,272,6461,5534,488,86,117,165,0,0,0,0,0,0,6367,5659,431,41,144,85,0,36,86,44,0,6496,5862,428,52,94,58,0,41,58,33,0,4983,1908,2984,5021,1604,2897,4241,1714,2438,4252,1510,2625,4554,1679,2720,4844,1926,2727,4825,1787,3023,4454,1695,2658,4383,1731,2512
8,HD8,7043,6297,471,81,120,81,16,0,0,8224,7242,533,239,180,46,6,0,0,8923,7619,675,124,219,191,36,8654,7478,662,193,220,90,9,158,167,10,0,23,153,8160,7263,517,135,83,69,0,5479,4978,305,49,88,65,13,0,0,6172,5592,339,169,40,25,0,154,27,10,0,0,6975,6093,466,67,146,128,18,6975,6093,466,31,95,21,5,27,237,6675,5970,398,89,87,83,0,0,0,0,0,0,6655,6124,352,82,53,48,0,40,32,9,0,7027,6158,558,94,110,39,5,63,87,4,5,4205,1346,2789,4435,1019,3004,3888,1157,2633,3899,1026,2703,4451,1196,3090,5344,1534,3636,5319,1427,3865,4597,1293,3177,5327,1592,3576
9,HD9,8542,6978,986,307,179,145,33,0,0,8995,7154,970,630,240,208,10,0,0,9015,6828,1283,386,312,312,47,8685,6575,1336,413,384,166,16,188,193,28,16,0,350,9158,6738,1496,341,257,101,56,6215,5219,616,189,117,94,19,0,0,6789,5582,570,456,67,157,0,198,67,74,0,0,6842,5378,857,233,192,211,28,6842,5378,857,158,118,29,13,27,262,6594,5227,843,325,157,116,0,0,0,0,0,0,6843,5454,888,309,146,85,0,296,75,54,0,6878,5516,807,376,125,83,0,406,73,57,0,4356,1736,2543,3746,1150,2113,3049,1256,1694,3061,1167,1761,3554,1309,2078,4264,1563,2504,4244,1576,2648,3644,1382,2153,4283,1549,2593
10,HD10,8084,7280,596,58,78,93,9,0,0,10260,8840,825,494,93,64,7,0,0,8978,7534,874,105,115,268,20,9303,7741,1043,411,62,47,17,159,17,10,0,0,333,9365,7973,908,244,85,172,0,5982,5497,364,27,45,54,2,0,0,7477,6712,409,280,53,36,0,215,9,2,0,0,6809,5889,529,55,72,196,5,6809,5889,529,37,41,30,3,44,236,6728,5903,496,310,12,21,0,0,0,0,0,0,6731,6022,419,153,37,81,0,84,25,23,0,6806,6277,358,11,52,91,4,0,37,19,4,3973,931,2925,4344,574,3396,3530,696,2738,3536,627,2724,4050,667,3230,4790,799,3837,4767,849,3905,4152,709,3341,5025,828,4094
