ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_AUD_Total,E_22_AUD_Dem,E_22_AUD_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_22_SC1_Total,E_22_SC1_Dem,E_22_SC1_Rep,E_22_SC2_Total,E_22_SC2_Dem,E_22_SC2_Rep,E_22_SCC_Total,E_22_SCC_Dem,E_22_SCC_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep,E_24_SC1_Total,E_24_SC1_Dem,E_24_SC1_Rep,E_24_SC2_Total,E_24_SC2_Dem,E_24_SC2_Rep,E_24_SC3_Total,E_24_SC3_Dem,E_24_SC3_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,354022,326879,17405,5314,3011,2282,161,0,0,349475,317505,20214,7285,3662,2774,235,0,0,350009,310941,21249,6914,3708,6496,375,348741,315667,20664,7275,3814,2597,248,3152,2779,435,94,402,5549,349905,314099,21809,7489,3707,2961,300,266955,250643,10221,2844,1986,1621,106,0,0,264866,247177,11468,3271,1139,1534,64,2556,884,460,277,0,269352,243875,13448,4007,2490,4679,250,269352,243875,13448,2608,1852,418,62,601,6488,264717,246202,12017,3596,1226,1552,80,0,0,0,0,0,266424,246500,12704,3975,1523,1630,65,2680,945,275,65,265989,244514,13373,4149,1991,1630,85,2439,1274,212,85,176723,69116,103162,165070,61177,103893,168043,41325,117625,165455,36215,120691,129797,48179,81618,130901,36055,90542,128662,36906,91756,149368,40264,105479,180651,46542,131065,141904,37048,103733,126668,35957,90711,126627,24319,102308,127477,27651,99826,126370,28041,98329,127324,27359,98556,126570,28050,98520,127096,34058,93038,126603,30007,96596,126254,30812,95442,127209,30783,96426,151998,38393,112649,178171,44610,131906,176001,48354,120388,174991,41072,131491,169747,44475,125272,170375,42925,127450,169598,43576,126022
2,2,333847,298526,12480,15513,5982,2374,208,0,0,336261,294682,15823,17855,6742,2675,412,0,0,344171,292854,17158,18632,7895,6593,273,336731,292666,16837,18072,7589,2940,545,12361,5102,714,108,711,8226,343040,295319,17637,18686,8002,3362,514,258494,235375,7609,10121,4115,1718,139,0,0,261359,235485,9812,11357,3000,1431,76,10178,2430,560,286,0,272502,237318,11077,12395,5626,4833,176,272502,237318,11077,10109,4592,357,36,607,8406,261678,235292,10015,11107,3488,1525,102,0,0,0,0,0,267211,238684,10687,11632,4162,1658,192,9528,3196,402,192,266931,237269,10936,12166,4299,1704,159,9691,3423,236,159,179959,93473,83241,172564,89573,82991,174576,72666,91891,171939,59309,104356,140198,76036,64162,141152,64477,71657,139100,65391,73709,158626,69884,84698,188292,82448,102712,151767,65846,84363,136951,64604,72347,137683,46800,90883,137178,52810,84368,135374,53713,81661,136697,51824,83551,135364,54021,81343,136304,69768,66536,135700,56925,78775,136003,57600,78403,136471,58189,78282,161825,68772,91647,188036,80796,105445,186253,84509,94240,185987,80748,99474,179961,79150,100811,180752,77811,102941,179710,78646,101064
3,3,332490,264699,9774,50751,5491,3165,492,0,0,356847,269933,12049,64868,9221,3693,587,0,0,362388,255921,18592,69965,10245,8556,435,359189,267809,12763,67543,10010,3550,513,59068,7484,456,40,656,10905,361323,261771,15997,68709,11161,5057,1087,249684,205723,5824,33058,3651,2145,253,0,0,266684,213358,5348,40836,4684,2197,44,37925,4133,336,672,0,277316,205663,11665,46719,7119,6287,290,277316,205663,11665,41808,5836,507,70,988,10779,268466,214694,4942,41862,4782,2289,38,0,0,0,0,0,268653,211938,5910,42513,5036,3089,182,39091,4225,239,182,270911,209021,7713,44798,4628,3735,106,41080,3613,312,106,147436,70638,74243,146818,75848,70970,150817,65095,78963,147871,55734,85274,120124,64176,55948,120989,58490,59426,119591,55312,64279,137456,62338,72135,167758,75647,89445,127775,56968,69703,110149,51475,58674,110037,42254,67783,110682,43299,67383,109413,45214,64199,110278,43184,65897,109258,45344,63914,109512,47072,62440,109653,46988,62665,109407,47970,61437,109966,48079,61887,137546,60508,75810,166205,73391,91187,163154,76670,80761,156970,68751,88219,146760,66938,79822,145579,65018,80561,155020,70040,84980
4,4,347787,290664,14413,30844,10414,2316,493,0,0,358125,287104,17499,36852,14940,3179,527,0,0,368937,275315,24828,41867,18692,8374,754,360482,284321,18149,39063,16177,2839,602,29106,13071,291,64,1073,14406,366679,281604,19968,42088,18452,2997,738,260874,224314,8669,19440,7308,1675,273,0,0,262421,225355,5754,22658,6598,1681,158,20794,6003,365,495,0,283262,220376,15243,27524,13693,6074,488,283262,220376,15243,24130,12061,459,314,886,9793,264486,225101,6568,23499,6991,1687,59,0,0,0,0,0,267959,225681,6815,25262,7986,1693,70,21806,7016,132,70,269673,219218,10355,26979,10741,1667,117,22269,8891,131,117,164305,62985,98954,158148,59459,98689,163330,56676,99499,160210,43686,110081,128412,53542,74870,128208,47133,77435,124958,47791,77167,146600,52619,90861,175904,67222,106134,138041,50178,86560,120849,47027,73822,121057,36916,84141,121005,39978,81027,120061,40461,79600,120924,39823,79946,120193,40328,79865,121118,43004,78114,120584,42502,78082,120621,42850,77771,121017,42811,78206,146607,53847,91405,172084,64402,106151,170324,67149,97055,166892,61455,105437,167808,60895,106913,166555,61773,104782,165716,62406,103310
5,5,346519,308102,4803,26670,4915,2545,231,0,0,347858,301893,5729,31844,5628,3710,393,0,0,352880,295385,7327,34618,6610,7473,458,349486,303012,5419,32072,6223,3539,522,25513,3941,439,10,439,10720,352035,300149,5469,36132,6471,3155,711,262543,237619,2805,17285,3262,1797,135,0,0,264480,236009,2908,20360,2700,2142,58,18174,2067,524,561,0,272619,233183,4551,23441,4645,5517,309,272619,233183,4551,20664,3466,464,75,883,9333,266294,237430,2974,20665,2802,2119,8,0,0,0,0,0,267751,236261,3092,23013,3084,2007,22,20202,2468,240,22,270129,235691,4578,23868,3691,1792,29,20377,2857,73,29,180953,69323,108188,172707,64344,108363,174726,52163,115336,172453,40147,125000,137424,55045,82379,138057,44283,89103,135580,45215,90365,157171,49225,104551,187561,59668,125101,149552,46564,101910,133767,44250,89517,134105,32870,101235,134385,35951,98434,133011,36855,96156,133902,36159,96357,132883,37710,95173,133437,35555,97882,133416,39100,94316,133311,39367,93944,133852,40315,93537,159328,49077,109048,185545,58289,125725,183752,62715,114393,180712,50180,127981,177960,56942,121018,176166,55438,120728,177127,56752,120375
6,6,369401,252627,9309,96766,9275,3361,390,0,0,366966,246064,12927,94225,12158,3048,724,0,0,371059,234842,16986,97852,13883,8355,648,366686,243136,13899,94936,12427,2973,941,85780,9416,479,149,1255,12564,370897,244868,15810,94051,13373,4132,1002,285444,203724,5917,67816,6561,2438,252,0,0,277076,199033,5248,65865,4640,1723,61,63052,3886,407,804,0,290703,193600,11213,69776,10124,6265,439,290703,193600,11213,64802,8144,544,137,1141,11122,276600,197650,6008,66119,4698,1804,37,0,0,0,0,0,280787,199618,7411,65664,5172,2117,41,62007,4215,214,41,279163,195533,8666,65983,5845,2175,68,61658,4398,92,68,189912,107425,79720,176737,100058,76679,173586,90418,75016,171152,73094,90428,138597,83369,55228,139002,73307,61494,137066,74553,62513,156100,82272,70248,179830,99249,77627,143190,76369,65506,123365,68612,54753,124020,56209,67811,123483,60471,63012,121920,60845,61075,122902,60037,61375,121868,61799,60069,121673,54660,67013,122421,63536,58885,122670,63750,58920,123047,65008,58039,147445,78584,67630,169489,92349,75474,167761,94298,67465,165546,76241,84123,162052,89161,72891,157756,85944,71812,160658,88602,72056
7,7,332063,271943,10536,31611,16499,1890,492,0,0,350008,277846,12715,33585,24183,1790,420,0,0,366619,275697,16888,35179,31098,6599,823,352855,277881,13668,33401,25557,1735,364,29420,22131,213,152,1564,7823,365972,284254,15409,35201,27302,2555,402,244861,204605,6425,22001,10723,1300,286,0,0,251216,213199,4905,22683,9114,1038,10,21262,8359,79,346,0,277848,215703,10469,25049,20878,4741,525,277848,215703,10469,22606,19006,285,293,793,8693,254446,214545,5726,23162,9590,1064,0,0,0,0,0,0,264966,221985,6882,24459,10039,1340,0,23006,8800,135,0,268613,221666,7439,24879,11895,2143,260,22566,10447,242,260,172501,64954,105593,174090,63598,110492,180941,65892,106674,178486,48297,123002,154239,66685,87554,154415,58762,91720,151762,60160,91602,170596,64006,102972,204824,84527,117246,165592,64574,99409,151743,64515,87228,152048,50594,101454,151898,55281,96617,150075,55061,95014,151226,54672,94892,150163,54909,95254,151713,62010,89703,150736,58289,92447,150846,58922,91924,151314,59446,91868,178220,71120,105384,205454,84397,119026,204514,87081,110707,201003,85958,115045,200264,78326,121938,199921,79859,120062,199458,81258,118200
8,8,346966,286310,5223,48316,5762,2032,280,0,0,351957,275054,7531,59367,8786,2892,212,0,0,358233,269778,9384,61660,9866,6434,478,353135,270568,7230,64467,9303,2620,400,55465,7048,438,53,703,11629,355993,267127,7509,68886,9244,3064,487,260550,220559,3132,32037,3853,1379,177,0,0,263022,214725,3177,39239,3671,1683,50,37513,3014,293,806,0,274181,214151,5668,41916,6827,4640,312,274181,214151,5668,38836,5582,410,114,922,8498,262379,212076,3048,41095,3838,1665,49,0,0,0,0,0,264075,210992,3433,43438,4265,1605,104,41025,3633,210,104,263255,206241,4129,43064,4488,5195,91,39928,3705,529,91,196256,76046,118027,190435,74182,116253,190384,73340,108431,188601,55311,126402,158767,73544,85223,159941,64008,91437,158315,67049,91266,176714,70556,102388,205101,90182,111793,166377,69079,95540,147978,66721,81257,148744,53543,95201,148565,57219,91346,146585,57405,89180,147984,56171,90205,146758,57286,89472,147688,62493,85195,147151,59723,87428,147828,60804,87024,147627,61278,86349,174272,74545,97943,198858,88630,108278,197422,90879,99755,191827,86912,104915,195383,79830,115553,194085,83346,110739,191024,84349,106675
9,9,335376,172900,9619,144654,7290,3030,523,0,0,340940,175209,12943,143643,9172,2923,484,0,0,348124,172486,17716,141992,11235,5892,550,342340,177097,13895,140589,9739,2590,560,130058,7108,156,343,1995,11692,348895,181047,15697,139757,11475,3761,429,261004,146545,6509,101027,6055,2232,340,0,0,255383,146955,4757,97653,3994,1502,253,94253,3237,249,782,0,275750,149037,11505,101957,9305,4443,376,275750,149037,11505,96414,7379,427,104,1207,9677,258315,150127,5621,96243,4172,1450,334,0,0,0,0,0,263854,154206,6570,95827,5138,1962,178,91456,4142,103,178,264230,154670,8131,91757,5276,4606,105,86491,4058,287,105,163013,117617,43608,157070,114442,42628,152957,110217,36203,150030,90646,52742,124086,95990,28096,124779,89929,31305,123565,92199,31366,138472,99450,35983,156922,117626,36835,124037,91366,31460,103922,79245,24677,104223,70956,33267,103916,74190,29726,102760,73944,28816,103649,73125,29117,102901,73860,29041,104252,78389,25863,103289,75738,27551,103558,76431,27127,103578,76597,26981,126133,92809,32246,145034,107461,36193,144607,107215,32857,141763,107388,34375,142809,102100,40709,142436,104001,38435,140477,104477,36000
10,10,341946,294912,7803,29514,7570,3188,433,0,0,343146,291929,10039,30499,8669,3359,607,0,0,345985,283644,11294,32057,9752,8124,643,344276,290702,10452,30866,9076,3238,767,22889,6046,300,118,987,12782,345521,289646,11185,31398,9380,3682,632,263908,231839,4857,20131,5393,2296,249,0,0,263650,231355,5348,20167,3987,2154,97,18121,3053,339,767,0,270968,227607,7089,22137,7017,5989,400,270968,227607,7089,18864,5396,609,139,1024,10240,265225,232105,5636,20413,4325,2080,79,0,0,0,0,0,266130,232480,5986,20166,4481,2228,155,17441,3289,161,155,266263,231681,6465,20287,4762,2137,111,16622,3398,160,111,169989,72056,94979,162885,69302,93583,161632,56337,97583,160740,44109,109574,131317,58413,72904,132051,46741,81024,130494,48668,81826,147802,52817,91541,173296,63571,106592,139034,49961,87835,124028,47193,76835,123637,35509,88128,123863,38747,85116,123452,40165,83287,124216,39229,83732,123432,40344,83088,124158,38428,85730,123743,42130,81613,123744,42316,81428,124121,43021,81100,148140,52316,94533,173645,62055,109786,173037,66111,100601,170515,52902,113715,168135,60821,107314,168632,59586,109046,167480,60309,107171
11,11,359195,239183,24726,89261,6110,3845,309,0,0,347518,222473,27610,90517,7287,4216,461,0,0,342626,208451,28753,93872,6836,7791,338,346756,219818,28250,91573,6749,3932,424,77898,4962,684,98,1599,13448,341630,211900,29400,92861,6716,4411,488,273495,193767,14565,59610,4580,2692,208,0,0,261848,181355,15777,59830,2578,2096,105,56696,2063,604,424,0,266327,173665,18241,64266,5195,5747,224,266327,173665,18241,58448,3931,606,86,1069,10281,262316,180337,16363,60571,2621,1997,91,0,0,0,0,0,260143,176289,17595,60776,3119,1858,111,57467,2543,301,111,257804,173629,17850,60832,3059,1879,122,56820,2293,124,122,172727,120338,49527,160212,114679,45533,149218,90779,50430,145248,79533,58399,111241,79509,31732,112219,71887,36216,110174,72904,37270,128912,80920,44583,147457,91118,53786,113735,70003,42454,92370,59499,32871,93105,46796,46309,92461,52497,39964,91371,53602,37769,92239,51909,39139,91327,53735,37592,92726,64734,27992,91607,55189,36418,91927,55324,36603,92163,56056,36107,115842,69266,45386,137083,82295,53492,135839,83234,46044,136777,85029,45928,132721,82364,50357,132671,81137,51534,132360,82466,49894
12,12,349002,319144,5717,19445,2790,2384,339,0,0,342496,308927,7239,20884,3552,2236,305,0,0,344252,303051,7939,21384,3518,6340,1008,341502,306615,7586,20787,3443,2505,610,14991,2108,480,335,629,8759,343289,306789,8081,21271,3569,3275,559,260663,242050,3323,12020,1842,1660,199,0,0,257781,237800,3865,13130,1467,1557,34,11436,1118,681,168,0,262250,235313,4927,13545,2398,4557,593,262250,235313,4927,11279,1741,537,411,681,7361,257573,237027,4110,13063,1582,1772,28,0,0,0,0,0,259704,238195,4795,12918,1614,1999,25,10368,934,337,25,258375,236244,4913,11710,1920,3076,24,9275,1149,379,24,170204,57739,108855,163514,51197,112317,163882,35925,121242,162073,28797,126154,129393,42486,86907,129750,31306,94343,128519,31729,96790,147417,34430,109939,175997,39138,134344,139728,31426,107425,125054,29225,95829,124218,20351,103867,125633,22612,103021,125261,22288,102973,125469,22571,101651,124473,23824,100649,125478,26188,99290,124868,24756,100112,124309,25093,99216,125150,25468,99682,149352,32023,116478,174669,37010,136240,173317,41712,125506,171540,36967,134573,167332,37770,129562,165826,35789,130037,166524,36988,129536
13,13,353750,289343,28413,31963,4221,3424,315,0,0,358872,286457,34203,34926,5668,3635,345,0,0,364245,282110,36726,33749,5844,8125,445,359875,285833,34931,34725,5848,3700,452,24045,3634,742,97,434,10164,364193,285115,36832,34061,6020,4762,353,267906,226832,17226,20081,2833,2312,194,0,0,274233,228398,20770,20525,2536,1919,74,18455,1958,675,263,0,284483,228895,23717,22267,4067,5904,301,284483,228895,23717,17840,2984,536,53,681,9777,276131,229038,21594,20597,2702,2021,89,0,0,0,0,0,280671,231202,23248,20906,2997,2388,45,17045,2238,291,45,283923,232315,24870,21265,3018,2143,15,17346,2321,261,15,169568,95751,70571,161948,90977,70971,162134,73189,81220,158735,61320,88127,130455,74664,55791,131271,64471,62585,126766,65095,61671,148035,70068,74227,181300,82389,96286,142112,65356,75531,127844,62373,65471,126742,48165,78577,127526,51650,75876,125525,53255,72270,126984,51041,74525,125323,53337,71986,125537,55981,69556,126045,56351,69694,126348,57560,68788,126618,57836,68782,153839,68686,83914,182835,80685,100484,179710,86618,86881,170327,74909,95418,169141,79589,89552,165066,76021,89045,168713,78633,90080
14,14,350258,333145,4296,6685,3129,3140,219,0,0,351647,331207,5733,8247,4048,2764,226,0,0,353762,322518,6712,9209,4487,8670,369,352250,329874,6004,8836,4519,3051,231,5147,3313,368,48,667,6829,353791,328620,6537,9418,4832,3286,198,263405,252275,2558,4218,2027,2410,134,0,0,268400,256610,3074,4922,1486,2028,39,4308,1126,482,243,0,273573,252463,4112,5798,3050,6453,199,273573,252463,4112,4431,2292,637,50,606,8982,269750,257035,3359,5156,1712,2281,44,0,0,0,0,0,272005,258255,3453,5554,2187,2339,8,4338,1545,258,8,273449,258121,3940,5827,2720,2277,52,4289,1983,157,52,159908,58210,98659,154978,56496,98482,160424,42526,111300,159049,35004,117272,126832,45716,81116,127581,38520,84977,125941,39506,86435,145528,41645,100732,175729,49708,123529,138695,39625,97902,123896,38771,85125,123796,29703,94093,124324,32037,92287,123276,32928,90348,124120,31975,90895,123358,32775,90583,124403,32662,91741,123676,34612,89064,123565,35000,88565,123956,35065,88891,150231,42449,106437,179165,50318,127468,176730,53817,116048,172921,48470,124451,172185,48068,124117,167631,48013,119618,169944,49408,120536
15,15,321460,147608,15679,150255,7702,4163,619,0,0,345143,145407,23202,164292,11622,5945,840,0,0,350690,140743,27300,164689,14750,7592,621,350046,148154,22413,165550,12113,5343,866,150804,9137,671,331,2378,16152,349742,147041,23760,164045,14099,5781,388,244395,125038,9973,102555,5998,2959,382,0,0,245762,124451,7202,105659,5290,3428,167,100275,4338,756,1243,0,269201,121773,17821,114865,11341,5622,437,269201,121773,17821,106699,9243,627,100,1457,11481,252936,126646,7811,108790,6200,2953,178,0,0,0,0,0,252488,126883,8223,107280,7450,2810,25,100894,5903,175,25,254590,125045,10641,108026,8418,2743,72,101082,6746,169,72,143641,112777,29031,142034,115757,26277,140885,110456,25013,136793,96677,33643,112665,95084,17581,112983,90546,19798,111572,89279,22293,126375,99749,24058,145658,116747,26757,110607,87858,21801,88681,72273,16408,88800,65413,23387,88763,67149,21614,87999,68685,19314,88657,67146,20559,87790,68396,19394,88477,71444,17033,88338,70041,18297,88261,70288,17973,88433,70579,17854,111790,87811,23237,131791,102669,27870,129488,102604,23437,125779,100544,25235,113905,91304,22601,112283,89202,23081,122828,97507,25321
16,16,300143,243724,10133,21072,24262,1854,262,0,0,348579,266479,12695,32488,36001,2561,448,0,0,359373,262768,17024,35326,37998,5785,478,354631,268538,14551,32986,38341,2232,451,25105,33092,345,26,584,12407,361027,263980,15172,39251,39999,3394,862,227993,190047,6431,13699,17001,1258,171,0,0,247824,207534,6417,19483,12457,1140,29,17470,10980,389,917,0,278581,210941,11180,23978,27547,4120,336,278581,210941,11180,20364,24949,339,82,1125,9601,250609,209087,7501,18951,13281,1057,25,0,0,0,0,0,255679,208305,6718,23302,15247,1254,35,20196,13545,219,35,255877,203086,8330,25797,16738,1100,105,22225,14980,146,105,165793,80729,83020,169792,83230,86562,176668,93430,73783,175576,72515,96902,159320,97896,61424,160641,89578,67762,158404,85325,73079,172183,93585,75146,203794,122655,78023,165115,94243,69102,150912,93063,57849,151056,77496,73560,150875,80930,69945,148887,81331,67556,150210,79291,69606,148532,81357,67175,149610,87651,61959,149411,85721,63690,149464,87010,62454,149871,87670,62201,175107,102524,71195,198762,119420,77130,197226,121471,70616,191154,112989,78165,178425,108186,70239,176592,106074,70518,188920,112233,76687
17,17,362801,343110,3113,11726,1758,3562,170,0,0,353816,331894,4000,12565,2119,3451,299,0,0,350486,322806,3959,11837,2252,8164,306,353722,331209,4307,12608,1961,3242,369,8034,1362,519,250,389,7656,350365,325859,4384,12575,2625,3726,454,275715,262133,1887,8115,1136,2689,115,0,0,272136,258145,2066,8409,968,2392,108,6684,708,433,181,0,271424,251971,2477,8135,1504,6052,206,271424,251971,2477,6271,1026,703,43,469,8464,272579,258465,2291,8451,724,2423,133,0,0,0,0,0,270351,255424,2624,8299,957,2791,98,6527,599,395,98,269034,253654,2484,8472,1268,2724,128,6578,975,295,128,154725,65001,85672,143046,62451,80595,148604,40055,102854,145881,41535,97688,112137,44402,67735,113002,36375,73454,110955,35732,75223,131116,39569,88950,160394,41027,117390,121510,33417,87361,104757,29762,74995,103980,22868,81112,105095,24243,80852,103921,25614,78307,104850,24434,79311,104135,25558,78577,104376,25997,78379,104268,26478,77790,103887,26914,76973,104623,27164,77459,130339,33044,96514,156898,37373,118411,154793,42487,106512,150867,37689,113178,149680,39458,110222,149462,38525,110937,149580,38801,110779
18,18,365345,318989,10534,24083,10854,1652,246,0,0,363997,307292,13580,30710,12475,1669,292,0,0,371394,298861,15945,34347,15251,5680,322,363224,303325,14214,30949,13357,1726,280,25589,10060,266,93,718,8961,369271,301707,16176,33684,14781,2155,209,285214,254143,6229,16450,7568,1181,148,0,0,281276,247903,5965,20502,5679,1027,46,19444,4924,322,277,0,298899,248033,9934,24726,10716,4136,220,298899,248033,9934,22151,9458,288,40,720,8275,282519,247772,6312,20699,6438,978,45,0,0,0,0,0,288728,249326,7893,22394,7768,995,83,20797,6477,180,83,289684,246564,9247,24515,7886,982,92,22162,6468,161,92,200620,102291,95366,193889,98662,95227,192193,86959,97331,186230,68757,108720,160229,89570,70659,161051,77468,79380,158897,81424,77473,178701,84547,90416,214698,103228,109002,171732,81313,89018,155231,79463,75768,155559,62582,92977,154831,66274,88557,151924,67128,84796,153999,65377,87396,151860,67571,84289,153428,68919,84509,152425,71826,80599,152911,73304,79607,153561,74483,79078,182224,86245,94665,208830,100328,106780,205902,105664,94653,196672,83256,107481,193252,96527,96725,195781,97225,98556,192492,95608,96884
19,19,314398,289703,5014,8770,9420,1745,238,0,0,343139,307753,6988,11289,15696,2014,471,0,0,357680,306935,9083,12714,21604,5621,422,347742,308872,7368,11790,17247,2061,482,7946,14605,484,29,538,7900,359633,313449,8252,13407,19935,2556,542,225804,210382,2876,5369,6060,1193,131,0,0,246010,228210,3867,6349,6104,1260,29,5546,5378,322,294,0,263585,230473,5517,8031,14250,3960,270,263585,230473,5517,6348,13039,328,63,726,7091,249315,230750,3963,6825,6036,1283,25,0,0,0,0,0,259785,237445,4710,7934,7742,1442,45,6758,6383,136,45,267724,242011,5595,8849,9300,1696,45,7481,7790,173,45,149030,58497,87813,151798,57241,94557,158663,54844,96204,157694,42155,109435,137690,59895,77795,138614,52114,83199,137165,49497,87668,152336,54982,94320,187083,72443,111817,150688,56102,93375,141827,58107,83720,141196,44951,96245,141962,47213,94749,140209,48344,91865,141591,47055,93285,140258,48694,91564,141329,52480,88849,140912,51919,88993,140579,53105,87474,141443,53526,87917,166069,63163,101778,194115,76044,116306,193314,79808,107788,189808,71764,117931,187724,73557,114167,188813,72470,116343,187312,72388,114924
