ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SOS_Total,E_16_SOS_Dem,E_16_SOS_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_AUD_Total,E_22_AUD_Dem,E_22_AUD_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_22_SC1_Total,E_22_SC1_Dem,E_22_SC1_Rep,E_22_SC2_Total,E_22_SC2_Dem,E_22_SC2_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,48640,22155,10344,750,444,16055,112,0,0,46449,18056,10242,989,780,18013,52,0,0,47068,17011,9620,869,723,20111,112,46259,18379,9706,1000,792,18060,23,609,400,15493,0,1628,46702,18530,10398,791,779,17876,47,34500,17599,6372,408,283,10246,57,0,0,32203,14825,5581,480,256,11035,0,411,214,10714,0,88,0,34250,13998,6269,538,520,13412,81,34250,13998,6269,287,365,12031,26,1143,32378,15113,5583,466,212,10936,0,0,0,0,0,32604,15263,6090,290,227,10598,10,243,157,10037,10,34140,15553,5760,371,249,12142,20,192,210,11016,20,16390,5476,10795,16178,4811,11367,16388,3966,10543,15875,5237,10638,12968,3982,6670,12939,4216,8723,12873,4794,7389,16196,5088,10466,18477,6053,11959,18381,5738,12103,16489,5046,10836,13876,4175,9188,13683,4617,9066,12134,5008,0,13735,4397,8772,13611,4396,9215,13701,4695,9006,13584,4270,9314,13556,4354,9202,16998,5442,11172,18998,6019,12577
2,2,51026,30477,13386,480,339,7219,51,0,0,50089,27635,14238,699,406,8169,98,0,0,47318,24590,13123,572,495,9296,72,49580,25922,15609,755,521,7818,79,185,231,6348,56,1005,46898,23013,14657,860,370,8931,39,36764,23771,8319,236,228,4590,33,0,0,36031,22166,8516,269,123,4990,65,124,103,4655,65,0,0,35093,19909,8671,270,342,6081,42,35093,19909,8671,114,216,4873,15,1114,35440,21350,8857,222,132,4878,54,0,0,0,0,34171,19380,8608,412,78,5730,4,342,65,5287,4,33475,19396,7575,373,63,5924,23,312,44,5260,23,18634,5279,13215,17901,3968,13933,19197,3215,14274,18561,4662,13899,15424,3470,9400,15401,3548,11853,15338,4433,10226,19030,4094,14339,21726,4700,16572,21585,4375,16643,19562,4017,14972,16808,3392,12933,16626,3874,12752,14457,4370,0,16682,3798,12309,16559,3622,12937,16674,4006,12668,16528,3598,12930,16511,3608,12903,20126,4306,15439,22192,5029,16785
3,3,49250,6155,7540,506,429,36474,51,0,0,49893,5606,7944,535,568,37448,35,0,0,47240,4781,6742,534,728,36168,109,49808,5392,8118,651,735,37600,107,315,586,33829,104,1451,49199,4939,8792,710,912,36753,44,33992,4959,4874,281,301,24352,34,0,0,34744,4516,4450,312,107,25350,33,262,98,24775,33,4,0,34429,3974,4718,322,539,25696,71,34429,3974,4718,176,421,24398,25,649,34965,4308,4549,295,161,25660,110,0,0,0,0,34524,4022,4667,305,201,25410,35,178,149,24897,35,33691,3837,3857,311,237,25543,24,121,190,25064,24,16954,11089,5661,15118,10182,4936,15674,8693,4653,14925,9599,5326,12940,7760,2735,12931,8416,4515,12788,8540,3520,15958,9944,5317,18488,11660,6364,18359,11237,6483,16429,9981,5757,14037,8485,4957,13787,8472,5315,12964,8876,0,13762,8249,4810,13678,8724,4954,13808,9000,4808,13573,8280,5293,13560,8332,5228,16931,10295,6226,18587,10467,7551
4,4,48165,7644,9545,493,476,31261,64,0,0,46964,6483,9923,565,596,31173,76,0,0,48235,6744,8215,565,760,33295,78,46299,6417,9966,325,434,30630,47,81,333,28682,19,749,45624,6465,9682,298,406,30264,55,34100,6487,6775,271,335,20795,33,0,0,34107,5474,6710,315,130,21471,12,182,95,21147,12,63,0,35576,5816,5866,403,561,23616,64,35576,5816,5866,224,447,22514,8,616,34099,5618,6820,138,123,21477,18,0,0,0,0,33975,5506,6741,146,168,21462,15,112,153,21133,15,35158,5735,5412,217,187,23534,36,165,162,23080,36,16694,10928,5492,15262,10296,4966,15565,8560,4834,14821,9527,5294,13553,8201,2902,13518,8544,4974,13317,9083,3543,15837,9604,5640,18091,10854,6748,17945,10373,7044,16018,9387,6021,13634,7993,5113,13329,7981,5348,12488,8317,0,13338,7651,4994,13216,8086,5130,13349,8152,5197,13146,7656,5490,13095,7742,5353,16353,9516,6491,17547,9529,7482
5,5,47919,13593,29594,406,1289,3931,80,0,0,46382,13332,28502,503,1374,3541,110,0,0,49357,14516,28717,593,1647,4944,88,46567,13278,28430,540,1338,3779,91,320,953,2768,5,694,49243,13633,30368,555,1434,4026,77,36183,11293,21478,259,890,2738,50,0,0,34042,10920,20246,229,476,2133,11,196,439,1955,11,59,0,38776,12169,21976,426,1220,3593,64,38776,12169,21976,236,1005,2436,16,740,34253,11130,20121,233,473,2188,6,0,0,0,0,35554,11526,20911,281,507,2263,7,239,418,2124,7,35513,12178,20041,232,534,2369,35,171,429,2144,35,21248,14407,6541,19222,13604,5618,20065,12412,4997,19141,12943,6198,17956,11784,3161,17960,12503,5457,17803,13376,3492,20505,13673,6089,22676,15046,7135,22621,14380,7721,20567,13362,6558,17977,11516,6226,17764,12367,5397,16848,12883,0,17724,11794,5510,17511,11025,6486,17846,12534,5312,17468,11360,6108,17334,12012,5322,20961,13561,7050,22144,13631,7927
6,6,49474,17509,27759,389,684,4363,99,0,0,49093,16982,27233,377,704,4620,35,0,0,51532,19242,26757,581,754,5498,132,49210,17166,27246,402,644,4269,32,118,335,3509,7,572,51101,17281,28926,497,610,4817,205,38484,14977,20472,244,467,2997,63,0,0,38080,14700,19961,119,361,2952,11,92,173,2846,11,30,0,41879,16964,20666,381,543,3956,80,41879,16964,20666,150,327,2458,14,1012,38429,14742,20235,185,360,2972,10,0,0,0,0,39998,15177,21380,308,229,2923,7,107,154,2619,7,39461,16537,19105,269,446,2930,4,109,301,2598,4,23160,17907,4985,22257,16834,5423,23189,15146,5023,22271,16151,6120,21710,15113,3083,21703,16356,5347,21544,16892,3507,23921,17223,5844,25920,18662,6675,25829,18116,7143,23494,16640,6133,20419,14533,5651,20274,15265,5009,19289,15330,0,20242,14588,5240,20141,14042,6099,20343,15446,4897,20023,14233,5790,19959,14832,5127,23978,17083,6529,25514,17541,7292
7,7,51746,26542,20733,3397,1033,1149,111,0,0,52244,24751,22678,3393,1035,975,256,0,0,51810,23333,22945,3716,1270,1821,157,52189,24207,23083,3425,1155,1118,169,2194,627,448,100,1450,51834,23562,23293,3167,1171,1375,129,37925,21300,13479,2105,718,835,68,0,0,36422,20171,13011,1995,552,491,130,1885,393,345,130,85,0,38438,18993,15353,2420,904,1347,112,38438,18993,15353,1842,592,249,28,1217,36412,19888,13172,2006,594,526,85,0,0,0,0,36376,19340,13632,2063,629,632,85,1824,416,270,85,35764,18793,13558,1951,606,780,43,1710,327,268,43,17585,5906,11309,15826,4999,10827,16057,3950,10597,15336,5277,10059,12710,3664,7049,12752,4130,8622,12631,4215,7795,15610,4620,10508,17838,5147,12312,17648,5156,11889,15866,4434,10863,12745,3254,8794,12588,3510,9078,11146,4010,0,12598,3301,8849,12535,3426,9109,12620,3682,8938,12513,3295,9218,12522,3431,9091,16172,4651,11179,17583,4963,12282
8,8,52461,16138,34596,755,537,1491,91,0,0,48000,13797,32069,858,625,1502,72,0,0,48310,14641,31394,784,539,1974,122,48417,13767,32179,755,581,1915,118,402,386,876,47,526,49377,13415,33205,865,441,2536,42,41499,13981,26078,555,396,1168,67,0,0,38571,12343,24778,353,242,825,8,288,186,543,8,40,0,39297,13019,24413,590,381,1532,89,39297,13019,24413,347,243,410,14,690,38947,12485,24964,481,241,837,29,0,0,0,0,39641,12431,25439,426,197,1098,8,372,177,817,8,39757,13499,24598,547,149,1008,11,420,119,608,11,25291,17549,7292,21935,15113,6822,21157,11844,6931,20383,13163,7220,18748,11693,4181,18760,12108,6652,18676,13838,4238,21189,12994,7682,23270,13520,9315,23241,13312,9487,21434,12527,8419,19015,10979,7745,18775,11746,7029,17483,12113,0,18698,11162,7182,18579,11204,7375,18909,12343,6566,18434,10545,7889,18380,11458,6922,21706,12488,8970,21944,11694,9783
9,9,49140,25245,19469,1423,1117,2879,102,0,0,50975,23006,21557,1575,1081,4580,52,0,0,51691,24851,20555,1714,1501,4281,154,53022,23064,23274,1618,1064,4981,44,976,726,3651,6,982,51800,23064,22430,1862,598,4976,336,38926,21821,13846,973,782,1982,67,0,0,41000,20249,15908,1253,514,3070,4,1010,359,2774,4,33,0,43021,22364,15723,1301,1165,3149,113,43021,22364,15723,900,806,1836,38,1118,42717,21027,17388,1092,435,2619,4,0,0,0,0,42205,21460,16410,1219,308,2444,4,1018,266,2131,4,43122,22241,16828,955,393,2156,6,814,332,1851,6,25121,14324,10686,23526,12827,10699,25251,12306,9886,24533,13940,10593,22676,12412,6693,22627,13153,9474,22540,14454,7157,26354,14661,10748,29407,16807,11955,29304,15654,12981,26731,14583,11305,23763,13208,10310,23635,13842,9793,21982,14235,0,23663,13827,9308,23419,13183,10236,23580,13559,10021,23358,12983,10375,23342,13351,9991,27313,15250,11616,28665,16338,11699
10,10,47920,21376,23094,1208,1062,2229,132,0,0,50909,22280,24956,1386,1572,2050,53,0,0,48840,20340,23546,1546,1604,3355,152,50575,20711,25483,1535,1602,2417,176,998,1081,821,115,955,49881,19485,25004,2193,1750,3330,123,37320,18007,16749,781,742,1616,87,0,0,39811,18920,18429,714,788,870,1,694,630,754,1,78,0,39621,17871,17878,1034,1098,2518,100,39621,17871,17878,621,725,1252,33,1009,39454,18017,18684,884,878,868,115,0,0,0,0,38792,17542,18091,1132,889,1008,50,1010,743,663,50,38696,18262,17554,975,828,1151,30,750,662,662,30,25278,15764,9415,24000,14449,9551,24685,13493,8041,23810,15456,8354,23268,14047,5415,23243,14964,8279,23070,16139,5964,26220,16044,9198,28989,18222,10140,28863,16754,11400,26358,15682,9801,23602,14120,9212,23348,14707,8641,21545,14862,0,23432,14983,7964,23033,13870,9163,23443,14549,8894,23057,13757,9300,23008,14096,8912,26998,16356,10186,28518,17496,10317
11,11,52673,5754,43907,1775,574,2356,90,0,0,53360,5303,45218,1229,282,2766,269,0,0,50252,4821,42291,1621,609,2838,121,50782,5493,42488,1275,545,2022,133,711,475,1262,77,245,50973,4591,43118,1497,865,2428,66,34922,4713,28077,1073,374,1480,55,0,0,30215,4336,24092,350,101,1134,200,310,82,1064,200,15,0,36320,4060,29883,1038,463,1980,77,36320,4060,29883,682,247,918,16,394,30206,4580,24079,407,112,1018,25,0,0,0,0,31510,4134,25274,706,95,1158,24,632,55,975,24,30405,3931,23908,981,120,1360,13,882,93,1169,13,13077,9670,3335,11847,8759,3088,12992,8043,3429,12344,8639,3705,10286,6705,1966,10285,7281,3004,10227,7774,2095,12993,8635,3913,15004,9880,4849,14799,9408,5025,12852,8171,4260,9992,5972,3800,9859,6329,3530,8972,6302,0,9871,6188,3374,9722,6071,3651,9855,6174,3681,9633,5937,3696,9670,6190,3480,13199,8258,4739,14977,8547,6145
12,12,46050,23594,17826,2021,1498,2173,160,0,0,47281,22291,21056,1849,1622,1992,76,0,0,51681,22568,22446,2475,2193,3714,252,49362,23485,21753,2257,1598,1863,87,1593,562,914,0,959,50364,22140,22585,3162,1956,2633,138,32948,18519,11324,1208,964,1364,95,0,0,34871,18375,13750,980,620,1002,6,941,469,751,6,116,0,39029,18698,15502,1605,1488,2547,167,39029,18698,15502,1055,1004,1201,69,1332,36024,18978,14063,1249,621,940,0,0,0,0,0,36851,18155,14857,1639,830,1178,30,1346,662,845,30,38956,19523,14754,1336,999,1937,11,1014,565,1419,11,20074,9975,10012,17314,7975,9339,21100,8478,9706,20406,10133,10273,18413,8511,6540,18367,9347,9020,18283,10449,6973,22634,10819,10879,26160,12996,12535,26068,11819,13544,23186,10646,11685,20022,9157,10537,19874,9649,10225,18065,10214,0,19881,9816,9582,19681,9288,10393,19850,9593,10257,19661,9166,10495,19642,9374,10268,24109,11390,12275,26750,12956,13212
13,13,49789,16446,28867,1684,1188,2877,118,0,0,48930,16209,28534,1279,1385,3076,69,0,0,48663,15734,26844,2052,1535,4287,169,48509,15843,27714,1432,1760,2908,82,903,1140,1183,3,1336,47343,16119,26075,1753,1852,3186,309,39760,14713,21437,1235,917,2184,88,0,0,37249,14478,19649,899,440,1702,3,801,383,1455,3,105,0,40401,14258,21121,1454,1195,3444,112,40401,14258,21121,947,774,1907,26,1125,37672,14166,19747,985,1045,1618,4,0,0,0,0,37133,14549,18853,1021,1031,1604,15,828,776,1159,15,36959,14939,17972,1061,1064,1654,0,856,800,1124,0,20511,15219,5177,18946,13921,5025,19535,12674,4431,18747,14016,4731,17375,12141,2701,17330,13090,4240,17198,13451,2941,19957,14221,4967,22050,15888,5628,21932,15102,6226,19695,13754,5265,16678,11799,4679,16478,12066,4412,15491,11982,0,16554,12224,4013,16313,11590,4723,16551,11974,4577,16295,11557,4738,16278,11778,4500,20027,14106,5550,21208,14500,6058
14,14,45650,7814,35505,1362,499,1696,97,0,0,48715,6763,38992,2091,671,1692,32,0,0,49425,7505,38494,1701,785,2690,103,48739,6904,39141,1647,618,1498,9,881,192,834,0,613,49448,6912,39605,1695,970,2332,65,31813,6509,23653,820,324,1129,64,0,0,30068,5781,21975,1044,265,952,0,984,170,794,0,49,0,36000,6347,27071,1087,569,1844,62,36000,6347,27071,696,355,781,16,567,30411,5819,22573,886,226,823,0,0,0,0,0,31129,5804,23167,797,397,856,0,737,244,593,0,31637,6084,23403,610,298,1021,50,560,208,716,50,13199,9130,3987,12288,8375,3913,13483,7676,4147,12892,8609,4283,10969,6822,2503,10941,7256,3685,10918,7864,2619,14013,8720,4805,16471,10241,5912,16323,9680,6249,14229,8430,5340,11578,6477,4923,11415,6966,4449,10301,6969,0,11422,6888,4279,11269,6514,4755,11444,6754,4690,11244,6478,4766,11259,6676,4583,14826,8759,5853,17103,9436,7335
15,15,50290,23700,19866,2272,1492,4511,175,0,0,49270,21540,20658,2371,2209,4227,40,0,0,49645,20404,20121,2953,2092,6092,160,49269,21417,20044,2874,1697,4532,93,1997,1004,3401,0,1119,50204,20700,20798,3571,1719,6028,177,39907,20645,14280,1569,1118,3088,115,0,0,37939,19193,13564,1633,781,2706,0,1515,651,2441,0,40,0,40141,18139,15110,2030,1615,4328,117,40141,18139,15110,1379,1148,2751,29,1364,38118,19296,13298,1939,621,2935,0,0,0,0,0,38396,18665,13813,2519,573,2882,0,1821,435,2551,0,37180,18537,12615,1925,886,3226,0,1567,760,2887,0,23384,13625,9674,20601,11747,8854,21041,10539,7416,20135,12552,7583,18185,10301,4638,18135,11086,7049,18019,12120,5010,21156,12371,7757,23358,14266,8431,23231,13136,9295,21016,12048,8034,17706,10362,7064,17512,10812,6700,16048,10820,0,17576,11023,6104,17296,10181,7115,17571,10727,6844,17240,10064,7176,17241,10301,6940,21187,12524,8158,22195,13421,8165
