ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,213746,175286,28985,2193,2877,5947,583,0,0,230791,185940,33398,2683,3654,6710,708,0,0,237896,184643,34576,3195,4889,9883,906,234359,187876,34355,2992,3819,6594,719,1528,2355,2690,142,214,5200,239511,188601,36453,3427,4408,8104,749,173233,148147,18176,1331,2106,4143,380,0,0,186835,160036,18578,1568,2217,3834,133,1095,1670,2238,514,0,200724,162562,23645,2139,3769,7388,632,200724,162562,23645,1192,2513,2473,214,896,7229,190602,162641,19337,1716,2437,3887,145,0,0,0,0,0,194207,165065,19858,1964,2521,4134,130,1241,1639,2160,130,201362,169666,21637,2102,2810,4503,204,1227,1869,1816,204,101252,37756,61755,99852,34736,65116,116219,36550,72013,113123,35461,68768,110156,41162,65929,110109,33061,74850,105945,37449,68333,121405,41853,77227,144404,50490,91810,143214,52746,90468,128500,45704,80927,124266,45910,75583,123647,44953,78693,120879,43430,77343,122654,46501,76027,120458,37162,83296,123009,44579,78270,134836,47712,85765,149554,49261,98933,147966,52633,92765,145840,50668,95172
2,2,221125,153997,44909,9448,10035,4703,883,0,0,242749,156040,56361,11892,15968,5047,908,0,0,246674,150278,56627,15905,17363,8718,1091,248588,159117,57057,13463,16271,6331,969,8791,12374,2484,220,397,8149,241155,146770,58434,15314,16082,7287,1060,168285,124732,27850,6005,7398,3150,571,0,0,169539,127034,26058,7045,6061,2858,213,5929,5012,1854,454,0,192714,125798,38110,10711,12448,6283,728,192714,125798,38110,8194,10365,2186,308,927,6826,173532,129318,26682,7736,5537,3284,218,0,0,0,0,0,171478,121652,29750,9693,5692,3819,134,8117,4669,2140,134,179201,125076,31553,10428,7128,3544,252,8886,5955,1700,252,81298,34194,45866,76859,32383,44476,88562,36555,44776,86494,31541,48730,77994,38475,37343,77733,31240,44576,76020,35258,40620,90689,42035,46620,113323,54437,56859,111785,56196,55589,92777,45300,45741,82231,42507,37697,82095,41634,40150,80059,40475,39485,80472,42729,37635,79505,34894,44611,71611,26414,43139,95073,47090,46680,107322,50082,56026,106107,53442,49900,101279,48956,52067
3,3,211302,184886,12405,3723,8266,2686,447,0,0,237048,202691,14493,4642,13189,3125,340,0,0,236955,196097,16501,5520,13185,4737,674,240425,202615,15548,4871,13387,3061,628,3412,9896,1659,36,1804,5452,236366,194845,18140,5602,13609,3310,597,164402,146816,8011,2526,5443,1799,287,0,0,185643,165341,8843,2780,6734,1745,33,2345,5873,1287,246,0,195367,166351,11481,3794,9230,3386,421,195367,166351,11481,2688,7490,1199,155,690,5313,187812,166877,9079,3000,6567,1726,33,0,0,0,0,0,184893,161274,10820,3526,6772,1951,54,2865,5614,969,54,190547,165803,10772,3690,7457,2175,96,2680,5907,769,96,109416,38783,69564,110980,35002,75978,123973,42772,74658,121485,34913,81059,118877,45584,71855,118406,35430,81636,115891,40885,74882,131944,47958,82475,158427,61455,95522,157704,61541,96163,140509,54830,84237,136246,56011,78331,135937,54469,81119,132675,52652,79906,133790,56880,76795,131652,43571,88081,127210,41773,84252,147876,58530,88243,163121,61006,100964,161464,65732,93460,157875,58246,99416
4,4,224608,188150,18896,5059,10715,2529,508,0,0,247062,193924,26102,6814,18142,2775,974,0,0,244298,187076,24702,7356,19813,4683,862,252311,193654,27200,8044,21179,2777,1096,5646,15928,1473,469,577,7367,239761,181377,26987,7887,19361,3379,1376,180797,155174,12828,3473,7853,1753,328,0,0,188301,158480,15952,4091,7438,1521,386,3567,5867,1006,462,0,200823,159214,17646,5318,14247,3516,551,200823,159214,17646,3550,11976,933,186,970,6348,192141,159513,17202,4860,8218,1391,383,0,0,0,0,0,186461,153061,17335,4745,8521,1793,646,4048,6533,989,646,194222,158509,18691,4763,9419,2048,450,3672,7262,961,450,119506,50748,67444,117439,47365,70074,128067,57139,62763,125735,45917,74612,120242,59913,58532,119679,48282,69703,116989,53642,63219,132485,62478,68070,156320,77921,76546,155260,77789,77471,135039,67806,65431,125388,66087,57298,124902,64705,59811,122155,63317,58720,122406,66657,55631,120809,52489,68320,123164,60843,62159,138763,70464,66935,152690,72931,78326,151051,77771,70740,147573,70343,76991
5,5,223073,106950,88899,15096,6666,10380,741,0,0,244960,115092,95900,17938,9850,10546,932,0,0,239088,115428,85196,20852,10314,12833,1036,246783,115169,94705,19651,11095,11229,1030,13653,7912,6112,465,842,7925,240647,111829,89912,21211,11380,11922,1043,169151,93080,55816,10676,5066,7043,493,0,0,164089,100191,42133,11110,4461,5588,219,9855,3702,4552,577,0,192005,102123,59869,15424,8040,9547,647,192005,102123,59869,12106,5662,4313,212,1005,6715,169608,100732,45707,11257,5210,5976,342,0,0,0,0,0,170361,98391,46455,12520,6264,5907,348,10528,4656,4720,348,176422,102361,46450,13954,6826,5899,442,11723,5235,4299,442,72534,41817,29598,71825,44134,27691,84844,53325,25025,83506,46460,32775,80078,56047,22081,79671,48765,29007,78095,52126,25800,90190,60546,27773,110172,76113,32327,109339,76854,32485,91090,63661,25895,81984,59448,20935,81569,58741,22539,79738,57418,22203,80047,59302,20664,78803,51359,27444,80049,56812,23036,93620,65891,26413,104246,70416,32430,103617,73127,27805,100387,68550,30578
6,6,231444,62718,21589,2803,2042,146904,391,0,0,232280,57132,22002,2939,2894,152217,577,0,0,225474,58813,21538,3006,2750,142803,607,233001,57263,22718,3474,2664,151713,688,1937,1493,144403,283,179,4748,223552,56238,23020,3612,2428,143775,508,160477,50399,13519,1748,1474,95134,233,0,0,164243,46498,12683,1595,986,102269,128,1294,804,100864,267,0,166613,48888,14598,2120,2047,100188,384,166613,48888,14598,1252,1341,96186,127,413,3808,166589,46545,13520,2112,963,103250,148,0,0,0,0,0,161326,46511,13560,1852,984,98541,169,1345,592,96295,169,160781,45827,13429,2028,1052,98563,157,1335,647,93105,157,78213,49115,27249,76402,52097,24305,88009,52888,26732,87964,54691,28360,80002,52136,24762,79819,46341,30668,78462,51167,27112,90747,58363,29816,111111,73042,36248,110671,74951,35720,89476,59942,27804,78290,54242,22266,77997,53018,24747,76881,53270,23439,76918,52933,23760,76468,49451,27017,77703,54203,23317,89473,59798,28522,98343,61896,35184,97911,64693,30875,97329,69596,27733
7,7,224624,166299,40942,4216,3227,11812,589,0,0,242916,173083,49566,6150,4791,11691,796,0,0,240214,170156,44449,6284,5344,14836,1029,248302,175702,50575,7455,5412,12617,916,4739,3420,6558,367,406,6525,244267,170482,49202,7851,5870,14043,868,180256,138653,28297,3023,2462,8711,385,0,0,193976,146385,32873,4058,2499,7375,428,3293,1825,5197,426,0,199383,147058,32651,4679,4120,10782,688,199383,147058,32651,3317,2641,6354,244,764,6354,199432,150290,33198,4605,2838,7544,292,0,0,0,0,0,196648,147315,32637,4223,3184,8331,232,3641,2056,5237,232,205621,155738,31601,4678,3797,9017,181,3755,2309,5662,181,88415,33420,53334,85114,30927,54187,94411,31762,55968,91836,31054,53469,87159,35086,49476,86851,27858,56939,85067,32300,52595,98224,36039,60179,119791,43850,74114,118675,46324,72351,105082,39443,64051,100814,39178,59044,100431,37885,62223,98975,37438,61389,99138,39617,59398,98551,32250,66301,99687,37034,61752,112526,41770,69542,129408,44767,83448,127954,48086,77196,125277,45387,79767
8,8,216616,124439,57837,14663,10090,13546,1100,0,0,255232,139017,67523,20632,17877,14706,1711,0,0,244166,128811,61634,20990,20211,16948,1618,259702,139900,65820,24787,18561,15394,1590,18835,14137,10671,838,320,9177,248372,131986,65799,22758,17990,14480,1780,176095,111682,38405,10331,8733,9056,785,0,0,188152,122083,36178,13525,6576,8804,589,12104,5102,7855,650,0,204640,116492,44971,15532,17754,12095,1149,204640,116492,44971,11956,14206,7262,576,999,8178,194223,123680,37181,15791,7486,9120,411,0,0,0,0,0,189054,118745,38466,14934,8148,7541,598,12343,5977,6278,598,191793,117340,41380,15003,9156,7512,553,11515,6499,5689,553,74705,41428,32034,67942,38096,29846,78680,44138,26988,76866,38007,34280,71245,45886,23440,70734,39704,29345,69022,42532,26348,82418,50746,29608,103530,65620,35786,102279,66498,35781,82076,51925,28357,70615,46213,22887,70048,45295,24467,68253,43885,24245,68087,45330,22644,67278,38992,28286,69247,44351,24758,83210,52503,29454,94031,55595,37100,92852,58279,32183,89980,53989,34752
9,9,221835,115863,82324,11796,5442,9522,1767,0,0,247766,120949,95061,16211,6788,13454,2836,0,0,238117,112902,89712,17038,8627,14500,2149,252124,123996,93631,18203,7267,12871,2467,13761,4474,7800,1137,332,6995,243516,119149,89623,20119,7956,12116,1336,160634,93975,50253,7692,4049,6019,1065,0,0,158627,98342,39761,9371,3202,6807,923,8321,2278,5793,487,0,179431,94101,59063,11566,6776,10011,1358,179431,94101,59063,8887,4904,4951,832,863,5830,162951,100557,40071,10780,3767,6571,633,0,0,0,0,0,160852,98431,40472,11313,4056,5733,316,9683,2768,4395,316,160597,96733,42963,10079,4803,5077,278,8075,3472,3394,278,69595,29450,39063,65885,28749,37136,73453,31927,33570,71689,28185,38396,64060,33054,28911,63839,27561,34454,62292,30441,31738,74712,36934,35591,93208,48209,42785,92156,50141,42015,74672,38806,33894,63967,34961,27161,63735,34252,29168,62294,33459,28743,62189,35284,26798,61792,29345,32447,62998,33769,29092,75509,40033,34126,85368,43327,40755,84557,45897,36057,81872,41471,38616
10,10,211276,166983,31101,5896,4913,3800,766,0,0,234134,177657,39853,8521,5104,4090,389,0,0,235579,169445,42978,9107,7869,7440,1263,237035,176793,42584,8749,5509,4582,595,5825,3960,2300,249,270,5055,232078,168716,42228,9223,8342,5352,726,165687,137485,19141,3698,3422,2468,475,0,0,176937,144480,21739,5064,2793,2453,173,4488,2330,1864,177,0,189789,143947,28691,6054,5877,5271,768,189789,143947,28691,4434,4254,1705,366,657,5735,180050,145010,23659,5142,3221,2596,172,0,0,0,0,0,178604,140750,23740,6039,4866,2666,215,4759,3447,1401,215,183319,143201,24566,6362,5497,2977,268,4913,3879,1196,268,86032,30366,54308,82514,28215,54299,93219,30637,54927,91166,27918,56660,85738,34230,49209,85583,25808,57799,83641,30354,53118,97898,36238,59498,120951,47143,71808,119612,49225,70387,101722,40663,59171,93634,40188,51014,93405,39075,53925,91303,37977,53206,91414,40893,50417,90507,31816,58691,92287,36550,53858,106294,43758,61217,120324,46992,72132,119119,50884,65351,115197,44548,69580
11,11,205966,38709,122505,34908,7456,10130,891,0,0,233466,45258,134444,41793,9010,11272,1219,0,0,237844,43830,136902,42708,9790,14516,1568,240666,44472,142553,41935,9629,11602,1272,35963,6639,5656,709,453,4223,235016,44620,137189,43167,9306,12142,1471,140624,32756,76566,23340,5385,6456,557,0,0,135921,36500,64096,26544,4122,4374,121,25417,3804,3818,507,0,170914,37668,91948,29460,7197,10174,1011,170914,37668,91948,26038,5626,4368,545,791,3930,141413,36106,69976,26545,4187,4447,123,0,0,0,0,0,142712,36830,69771,27380,4413,3891,333,26039,3875,3212,333,152051,39351,73215,28512,5768,4569,496,26595,4977,3586,496,43463,30549,12321,46215,35457,10758,56015,40967,11254,55042,35947,16348,49267,37616,9892,49087,33509,14000,48062,36354,11578,59451,44411,13738,77933,58466,18205,77164,59431,17733,60069,45395,13766,50874,38604,11179,50673,37881,12625,49392,37117,12185,49706,38321,11300,49103,34935,14168,50102,38304,11733,63388,46590,15843,75789,52403,22226,75521,55026,18257,72146,50775,19500
