ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_19_GOV_Total,E_19_GOV_Dem,E_19_GOV_Rep,E_19_AG_Total,E_19_AG_Dem,E_19_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-24_COMP_Total,E_16-24_COMP_Dem,E_16-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,117995,104963,3399,7709,1158,882,97,0,0,118445,104124,4339,7928,1256,899,273,0,0,116519,99653,4961,8062,1155,2410,147,118376,103774,4494,7935,1393,905,207,5998,802,322,186,68,2732,116871,101189,4705,8116,1268,1258,236,93188,84232,2076,5373,908,666,55,0,0,92160,83555,1790,5311,709,569,125,5006,477,213,99,0,92234,80574,3066,5569,823,1884,78,92234,80574,3066,4873,559,222,14,167,2759,92275,83790,1742,5374,647,604,95,0,0,0,0,0,91545,82265,2072,5605,637,765,155,4957,486,165,155,91884,81961,2447,5572,612,1078,97,4874,474,116,97,51315,19135,30996,48632,15902,32730,51919,12529,37251,51441,17808,33633,38168,14223,23146,37504,12829,24675,47997,14465,32790,54935,14223,39916,54876,15548,37115,48061,14467,33170,53230,12471,40036,52709,12059,40650
2,2,119885,107605,2029,8570,918,977,69,0,0,118511,105137,2566,8996,1234,865,127,0,0,120976,103247,3086,9805,1328,3049,134,118534,104782,2641,9046,1287,923,113,7370,713,310,43,165,2510,120783,106037,2929,9450,1249,1206,143,93704,85699,1251,5530,590,736,39,0,0,92375,83865,1390,5845,519,568,24,5551,376,238,138,0,95149,83161,1841,6494,880,2315,89,95149,83161,1841,5802,617,238,24,168,3298,92550,83880,1466,5740,580,681,19,0,0,0,0,0,94575,85345,1543,6099,595,780,14,5704,477,172,14,94147,84634,1838,6007,567,802,92,5529,432,125,92,57780,20896,35681,56176,18273,37903,59327,14941,41921,59168,21233,37935,44266,17275,26203,43719,15553,28166,55218,17484,36937,62993,17493,44642,63034,18746,42132,55446,17650,37344,61219,15882,44560,60735,15304,45431
3,3,118438,91962,5037,19363,1357,1278,505,0,0,115067,86848,6411,19353,1935,1193,480,0,0,116325,85794,6519,20141,1743,2469,446,114964,86373,6515,19315,2111,1182,372,16695,1652,250,255,268,2956,116136,86818,6933,19629,2329,1164,337,87657,70415,2892,12768,891,880,282,0,0,85450,67215,3665,12740,932,734,132,12474,789,317,103,0,87841,66819,4263,13796,1210,1796,264,87841,66819,4263,12510,830,290,135,194,2800,85265,67065,3578,12743,1103,662,106,0,0,0,0,0,85645,67215,3621,12575,1157,771,121,11358,832,135,121,84274,65717,3730,12496,1198,792,157,10734,814,77,157,42087,17313,24012,39931,14815,25116,41112,11720,28008,40516,15201,25315,27448,11552,15368,27033,9852,17181,37385,12738,23991,44522,13274,30483,44374,14980,27197,37413,12689,24266,41551,11359,29683,40704,11290,29414
4,4,121798,107600,2415,10340,743,729,155,0,0,118866,103398,3122,10922,746,803,209,0,0,116901,99324,3527,10455,945,2322,167,118197,102206,3084,11138,775,640,137,9038,558,175,30,113,2993,116439,100945,3347,10131,787,1075,188,93401,83914,1401,7069,503,560,94,0,0,91145,81485,1162,7508,454,475,24,7029,366,106,71,0,90103,78308,2065,7088,617,1762,102,90103,78308,2065,6309,414,152,37,182,2636,90780,81020,1183,7708,429,449,33,0,0,0,0,0,89470,80170,1407,6840,369,471,42,6194,221,92,42,88331,78836,1354,6766,396,640,97,6158,283,63,97,51040,22347,27596,49035,17514,31521,52062,13588,36534,51473,19637,31836,35420,15569,19134,34908,13138,21770,47038,15910,30336,54764,16019,37958,54680,17725,34137,46944,16001,30410,51839,14131,37050,51045,13905,37140
5,5,110939,104637,2458,2446,587,1002,127,0,0,111441,104006,2970,2987,636,894,183,0,0,112998,102653,3366,3012,856,2664,193,111812,104335,3028,2867,805,818,225,1847,545,273,62,66,1656,113104,104633,3280,3340,764,1096,207,83280,79330,1443,1469,360,742,72,0,0,84299,80354,1175,1639,347,660,4,1478,224,234,144,0,85774,79055,1924,1886,529,2053,89,85774,79055,1924,1421,319,256,45,202,2552,84760,80750,1224,1617,333,660,8,0,0,0,0,0,85875,81665,1278,1870,240,810,4,1479,171,54,4,86738,81718,1800,1921,205,965,20,1532,96,61,20,45090,16221,27966,42087,13888,28199,47546,9972,35733,46908,16558,30350,34927,13391,20617,34507,10472,24035,44956,12623,31436,53540,11865,40881,53427,13626,36668,45836,12729,32433,53146,10611,41806,52336,10071,42265
6,6,106055,90666,3920,8174,2851,778,121,0,0,113693,94898,4615,9641,4093,977,180,0,0,115027,93550,5528,9196,4242,2281,142,114669,95177,4742,9914,4210,784,168,8237,3278,186,64,245,2737,117927,96780,4859,10577,4584,1272,88,78076,67705,2429,5800,1753,540,76,0,0,83261,72348,1837,6425,1761,698,53,5859,1585,240,199,0,86630,71982,3374,6516,2841,1618,83,86630,71982,3374,5700,2317,145,32,266,2814,83658,72851,1674,6576,1802,587,44,0,0,0,0,0,85961,74494,2122,6340,2210,684,12,5662,1887,85,12,86031,74065,2685,5585,2281,1275,4,4878,1858,59,4,53856,21562,31644,52957,20030,32927,58411,22181,32691,58525,24638,33887,46333,24111,21374,45794,19852,25942,56824,24872,30718,66077,29142,35624,66266,29401,34736,57935,25860,31234,65029,27995,35711,53042,12970,39851
7,7,103060,89033,5474,7082,1019,700,147,0,0,109674,93285,6259,8033,1617,746,159,0,0,113701,92758,7913,8566,1687,2586,149,110643,92976,6439,8981,1399,688,181,7040,959,0,77,379,2767,112123,93732,6705,8307,1524,1573,73,77335,68305,3315,4708,635,517,90,0,0,81741,73178,1953,5420,649,427,25,5220,529,0,123,0,87071,73278,4796,5759,1119,1907,104,87071,73278,4796,4917,826,171,37,271,2775,82770,73601,2384,5658,660,454,25,0,0,0,0,0,84433,74710,2581,5256,746,1058,19,4888,588,54,19,85404,74511,2729,5232,1041,1908,17,4629,641,102,17,48950,18312,29855,47735,17548,30187,52645,15911,34027,52429,21221,31208,42679,19480,22324,42197,15793,26404,51586,19040,31466,60037,20345,38599,60111,21416,36107,52922,19616,32521,60800,19484,40288,52798,9613,43124
8,8,114752,104565,2725,5990,924,514,106,0,0,118477,105680,3360,6837,2122,597,262,0,0,121559,104604,4471,7420,2847,2026,145,118951,105450,3481,6928,2291,700,125,4792,1925,195,16,406,2686,121147,106395,3897,7189,2532,792,359,86697,80588,1536,3606,585,384,59,0,0,87870,81670,1049,4124,494,541,14,3576,416,231,10,0,92525,81957,2468,4533,1830,1511,95,92525,81957,2468,3676,1627,113,47,176,2461,88140,81825,1032,4273,547,523,20,0,0,0,0,0,89910,83060,1214,4413,698,472,49,3549,616,122,49,89941,82436,1424,3575,1107,1359,22,2857,893,150,22,52390,23380,28006,49407,19416,29991,54640,16395,35076,54146,22291,31855,41279,19261,21005,40605,16347,24258,51117,19180,30706,58614,19711,37803,58642,21204,34027,51378,19406,31124,56364,17835,37658,55357,16432,38925
9,9,116224,102165,4129,7889,1370,842,129,0,0,121498,103776,5105,9892,2005,1125,186,0,0,123871,101415,6844,9859,2925,2466,308,122348,103185,5444,10909,2295,920,196,7876,1598,175,88,112,3873,122692,102745,6031,10522,2056,1481,277,88986,79526,2504,5470,923,644,67,0,0,90592,81398,1495,6568,471,704,1,5744,356,186,120,0,94518,79557,4312,6595,1850,1890,193,94518,79557,4312,5798,1603,186,142,169,2751,91492,81649,1518,7200,612,667,0,0,0,0,0,0,91695,81740,1663,6629,777,914,20,5163,696,117,20,92685,81536,2449,6172,1269,990,15,4938,1053,82,15,44073,15238,28020,41856,14835,27021,46778,12227,32751,46226,18194,28032,32879,13507,18741,32510,11210,21300,43482,14292,28427,51855,14772,36319,51762,15962,33195,44183,14321,29314,51158,12513,38029,50416,11515,38901
10,10,108160,84543,5371,14340,3178,1402,616,0,0,110637,84336,6180,16302,3648,1572,565,0,0,113278,83244,6814,16414,3882,3132,732,111610,84626,6373,16426,3754,1291,603,12726,2116,158,348,358,4904,113493,85411,6697,16944,3891,1459,667,80107,64790,3235,9198,2162,940,370,0,0,82286,64925,3661,10484,2000,873,214,9656,1481,128,254,0,86098,65428,4327,11158,2731,2284,475,86098,65428,4327,9569,1890,294,294,332,3964,83014,65510,3593,10694,2028,840,197,0,0,0,0,0,84014,66164,3861,10928,1814,812,152,9948,1098,157,152,84086,65803,4054,10940,1997,1061,44,9425,1341,144,44,41019,16038,24409,39374,15542,23832,44019,14224,27519,43811,18459,25352,31840,14826,16284,31616,11419,20197,41765,16155,24655,49845,18376,30439,49855,19532,27971,42565,16578,25273,48971,16833,31282,48371,15607,32764
